"",BBK01.CELM01,BBK01.CELM01_FLAGS
"",Currency                                                           debtor: Total            creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:16,
1999-01,-2.4,
1999-04,0.3,
1999-07,0.0,
1999-10,1.3,
2000-01,-1.4,
2000-04,0.1,
2000-07,0.2,
2000-10,0.9,
2001-01,-1.1,
2001-04,0.1,
2001-07,-0.1,
2001-10,0.0,
2002-01,-1.7,
2002-04,-0.8,
2002-07,-0.3,
2002-10,1.5,
2003-01,-1.7,
2003-04,0.2,
2003-07,0.0,
2003-10,1.3,
2004-01,-1.5,
2004-04,0.1,
2004-07,0.0,
2004-10,0.7,
2005-01,-0.5,
2005-04,0.0,
2005-07,0.1,
2005-10,0.5,
2006-01,-0.7,
2006-04,0.2,
2006-07,0.1,
2006-10,0.7,
2007-01,-1.0,
2007-04,0.2,
2007-07,0.1,
2007-10,1.1,
2008-01,-1.2,
2008-04,-0.1,
2008-07,0.0,
2008-10,1.3,
2009-01,-1.3,
2009-04,0.4,
2009-07,-0.4,
2009-10,1.1,
2010-01,-0.9,
2010-04,-0.1,
2010-07,0.2,
2010-10,0.6,
2011-01,-0.7,
2011-04,0.3,
2011-07,0.1,
2011-10,0.3,
2012-01,-0.4,
2012-04,0.0,
2012-07,0.2,
2012-10,1.1,
2013-01,-0.8,
2013-04,-0.4,
2013-07,-0.1,
2013-10,1.1,
2014-01,-1.4,
2014-04,0.1,
2014-07,0.1,
