"",BBK01.OEAE33T,BBK01.OEAE33T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:15,
2002-01,0.505,
2002-04,0.503,
2002-07,0.501,
2002-10,0.499,
2003-01,0.504,
2003-04,0.503,
2003-07,0.493,
2003-10,0.490,
2004-01,0.502,
2004-04,0.505,
2004-07,0.501,
2004-10,0.504,
2005-01,0.493,
2005-04,0.498,
2005-07,0.506,
2005-10,0.509,
2006-01,0.500,
2006-04,0.501,
2006-07,0.508,
2006-10,0.504,
2007-01,0.512,
2007-04,0.500,
2007-07,0.499,
2007-10,0.492,
2008-01,0.494,
2008-04,0.493,
2008-07,0.493,
2008-10,0.512,
2009-01,0.547,
2009-04,0.586,
2009-07,0.568,
2009-10,0.543,
2010-01,0.574,
2010-04,0.574,
2010-07,0.577,
2010-10,0.569,
2011-01,0.574,
2011-04,0.564,
2011-07,0.579,
2011-10,0.594,
2012-01,0.602,
2012-04,0.624,
2012-07,0.633,
2012-10,0.652,
2013-01,0.636,
2013-04,0.630,
2013-07,0.646,
2013-10,0.637,
2014-01,0.623,
2014-04,0.596,
2014-07,0.600,
