"",BBEX3.A.NPR.USD.CA.AC.A04,BBEX3.A.NPR.USD.CA.AC.A04_FLAGS
"",Exchange rates for the US dollar in Nepal / USD 1 = NPR ... (middle),
unit,NPR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:15:39,
1990,29.500,
1991,38.050,comment
1992,42.742,comment
1993,49.244,comment
1994,49.425,
1995,52.214,
1996,56.521,
1997,58.279,
1998,66.175,
1999,68.346,
2000,71.371,
2001,75.200,
2002,78.015,
2003,75.858,
2004,73.575,
2005,71.522,
2006,72.808,
2007,66.184,
2008,70.323,
2009,77.690,
2010,73.158,
2011,75.117,
2012,85.598,
2013,94.288,
2014,97.712,
"","Source: Nepal Rastra Bank, Kathmandu",
"",Methodology: Calculated on the basis of month-end buying and selling rates.,
"","Comment on 1991: On 2 and 4 July 1991, the Nepalese rupee was devalued in two stages. We recorded the following exchange rates (buying/selling rate; calculated devaluation in brackets): 30 June 1991: USD 1 = NPR 35.30 / 35.50 2 July 1991: USD 1 = NPR 38.00 / 38.20 (-7.1%) 4 July 1991: USD 1 = NPR 42.70 / 42.90 (-11.0%)",
"","Comment on 1992: From 4 March 1992 to 12 February 1993, Nepal had a multiple exchange rate system; for information on how the exchange rates were used, see BBEX3:M:NPR:USD:CA:AC:A01. The average free market rate between March and December 1992, calculated on the basis of month-end exchange rates, was USD 1 = NPR 47.12 / 49.48 (buying/selling).",
"","Comment on 1993: For January 1993, the free market rate was used to calculate the average rate.",
