"",BBK01.OEYL07I,BBK01.OEYL07I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:32,
2002-01,7.124,
2002-04,6.987,
2002-07,6.915,
2002-10,6.890,
2003-01,7.033,
2003-04,7.015,
2003-07,7.831,
2003-10,7.821,
2004-01,7.739,
2004-04,7.638,
2004-07,7.492,
2004-10,7.566,
2005-01,7.499,
2005-04,7.395,
2005-07,7.317,
2005-10,7.338,
2006-01,7.268,
2006-04,7.230,
2006-07,7.118,
2006-10,6.704,
2007-01,6.733,
2007-04,6.727,
2007-07,6.780,
2007-10,6.872,
2008-01,6.817,
2008-04,6.783,
2008-07,6.781,
2008-10,7.352,
2009-01,7.262,
2009-04,6.824,
2009-07,6.359,
2009-10,6.062,
2010-01,5.845,
2010-04,5.797,
2010-07,5.771,
2010-10,5.962,
2011-01,5.918,
2011-04,5.786,
2011-07,5.707,
2011-10,5.746,
2012-01,5.755,
2012-04,5.743,
2012-07,5.635,
2012-10,5.698,
2013-01,5.655,
2013-04,5.624,
2013-07,5.613,
2013-10,5.577,
2014-01,5.534,
2014-04,5.508,
2014-07,5.456,
