"",BBSF2.M.1.T.00000.DGW01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DGW01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Mixed securities funds / Net asset value,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:44,
2009-09,11641,
2009-10,11615,
2009-11,11843,
2009-12,12610,
2010-01,12859,
2010-02,13052,
2010-03,13562,
2010-04,13933,
2010-05,13669,
2010-06,15538,
2010-07,15673,
2010-08,16110,
2010-09,16745,
2010-10,17143,
2010-11,17355,
2010-12,17886,
2011-01,17919,
2011-02,18093,
2011-03,18250,
2011-04,18498,
2011-05,18249,
2011-06,18167,
2011-07,18333,
2011-08,17868,
2011-09,18069,
2011-10,18295,
2011-11,18082,
2011-12,18378,
2012-01,19006,
2012-02,19389,
2012-03,19507,
2012-04,19528,
2012-05,19260,
2012-06,19096,
2012-07,19795,
2012-08,19676,
2012-09,19878,
2012-10,19561,
2012-11,19717,
2012-12,20033,
2013-01,20385,
2013-02,20585,
2013-03,20757,
2013-04,21276,
2013-05,21324,
2013-06,20589,
2013-07,20749,
2013-08,20489,
2013-09,20168,
2013-10,20584,
2013-11,20620,
2013-12,20786,
2014-01,20761,
2014-02,21234,
2014-03,21577,
2014-04,21815,
2014-05,22272,
2014-06,22667,
2014-07,22965,
2014-08,23420,
2014-09,23508,
2014-10,23659,
2014-11,24120,
