"",BBK01.OEAH69I,BBK01.OEAH69I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:44,
2002-01,1.528,
2002-04,1.467,
2002-07,1.463,
2002-10,1.386,
2003-01,1.250,
2003-04,1.181,
2003-07,1.129,
2003-10,1.105,
2004-01,0.978,
2004-04,0.922,
2004-07,0.896,
2004-10,0.918,
2005-01,0.981,
2005-04,0.933,
2005-07,0.826,
2005-10,0.761,
2006-01,0.747,
2006-04,0.804,
2006-07,0.867,
2006-10,0.980,
2007-01,1.239,
2007-04,1.318,
2007-07,1.421,
2007-10,1.582,
2008-01,1.624,
2008-04,1.674,
2008-07,1.757,
2008-10,2.112,
2009-01,2.006,
2009-04,2.244,
2009-07,2.304,
2009-10,2.067,
2010-01,2.494,
2010-04,2.630,
2010-07,3.118,
2010-10,3.541,
2011-01,3.991,
2011-04,4.067,
2011-07,4.129,
2011-10,4.230,
2012-01,4.281,
2012-04,4.282,
2012-07,4.067,
2012-10,4.021,
2013-01,3.939,
2013-04,3.818,
2013-07,3.751,
2013-10,3.747,
2014-01,3.755,
2014-04,3.762,
2014-07,3.970,
