"",BBFB1.Q.N.DE.B2.S1.S1.T.D.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.D.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Expenditure / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:38,
1999-01,6224.717,
1999-04,8511.274,
1999-07,11498.227,
1999-10,6706.731,
2000-01,6481.621,
2000-04,8944.694,
2000-07,12085.705,
2000-10,7078.022,
2001-01,6448.602,
2001-04,8780.157,
2001-07,11868.593,
2001-10,6840.019,
2002-01,6918.841,
2002-04,8586.174,
2002-07,11699.826,
2002-10,6521.211,
2003-01,6552.614,
2003-04,9148.968,
2003-07,13094.354,
2003-10,6559.432,
2004-01,6600.552,
2004-04,8965.004,
2004-07,11381.914,
2004-10,6241.397,
2005-01,6480.317,
2005-04,8228.102,
2005-07,12333.616,
2005-10,6609.474,
2006-01,6347.898,
2006-04,8997.009,
2006-07,11849.095,
2006-10,5925.521,
2007-01,5964.666,
2007-04,8582.436,
2007-07,12517.375,
2007-10,6447.618,
2008-01,6345.964,
2008-04,9196.840,
2008-07,12977.176,
2008-10,6945.464,
2009-01,5720.395,
2009-04,8281.548,
2009-07,12342.747,
2009-10,6292.722,
2010-01,5493.680,
2010-04,8385.790,
2010-07,12335.972,
2010-10,6493.147,
2011-01,5932.925,
2011-04,8603.258,
2011-07,13021.553,
2011-10,6557.607,
2012-01,5684.248,
2012-04,8742.600,
2012-07,13539.301,
2012-10,6469.936,
2013-01,6482.057,
2013-04,9301.014,
2013-07,14799.726,
2013-10,7541.029,
2014-01,6480.492,Provisional value
2014-04,9672.887,Provisional value
2014-07,15423.814,Provisional value
2014-10,7751.881,Provisional value
