"",BBNZ1.Q.DE.N.G.0342.A,BBNZ1.Q.DE.N.G.0342.A_FLAGS
"",Germany / National accounts / Households' income / Mass income,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-24 08:21:05,
1991-01,167.393,
1991-04,169.718,
1991-07,178.263,
1991-10,194.105,
1992-01,179.378,
1992-04,181.568,
1992-07,195.487,
1992-10,211.419,
1993-01,189.447,
1993-04,191.300,
1993-07,202.720,
1993-10,218.046,
1994-01,194.573,
1994-04,193.930,
1994-07,204.526,
1994-10,217.446,
1995-01,196.880,
1995-04,197.113,
1995-07,207.448,
1995-10,221.474,
1996-01,204.234,
1996-04,203.618,
1996-07,212.690,
1996-10,222.952,
1997-01,203.736,
1997-04,202.546,
1997-07,211.784,
1997-10,223.744,
1998-01,205.177,
1998-04,207.387,
1998-07,217.682,
1998-10,228.829,
1999-01,212.634,
1999-04,214.440,
1999-07,226.550,
1999-10,239.060,
2000-01,221.209,
2000-04,221.528,
2000-07,233.242,
2000-10,247.255,
2001-01,229.501,
2001-04,229.745,
2001-07,240.923,
2001-10,255.498,
2002-01,233.076,
2002-04,232.666,
2002-07,245.531,
2002-10,258.187,
2003-01,234.340,
2003-04,233.690,
2003-07,245.937,
2003-10,259.633,
2004-01,238.709,
2004-04,238.730,
2004-07,248.144,
2004-10,261.430,
2005-01,238.640,
2005-04,239.741,
2005-07,248.562,
2005-10,261.010,
2006-01,237.588,
2006-04,239.969,
2006-07,250.132,
2006-10,261.909,
2007-01,241.417,
2007-04,243.088,
2007-07,253.256,
2007-10,267.560,
2008-01,247.651,
2008-04,248.917,
2008-07,259.450,
2008-10,273.175,
2009-01,251.460,
2009-04,255.331,
2009-07,267.955,
2009-10,281.335,
2010-01,262.542,
2010-04,264.504,
2010-07,273.993,
2010-10,289.087,
2011-01,267.890,
2011-04,269.042,
2011-07,279.592,
2011-10,295.088,
2012-01,275.048,
2012-04,277.726,
2012-07,288.188,
2012-10,304.761,
2013-01,282.743,
2013-04,284.606,
2013-07,296.303,
2013-10,311.920,
2014-01,291.440,
2014-04,292.785,
2014-07,305.699,
2014-10,324.223,
