"",BBK01.OECL05N,BBK01.OECL05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:47,
2002-01,0.055,
2002-04,0.044,
2002-07,0.041,
2002-10,0.044,
2003-01,0.043,
2003-04,0.051,
2003-07,0.047,
2003-10,0.047,
2004-01,0.048,
2004-04,0.046,
2004-07,0.047,
2004-10,0.047,
2005-01,0.401,
2005-04,0.393,
2005-07,0.375,
2005-10,0.363,
2006-01,0.356,
2006-04,0.350,
2006-07,0.347,
2006-10,0.337,
2007-01,0.312,
2007-04,0.297,
2007-07,0.287,
2007-10,0.290,
2008-01,0.277,
2008-04,0.269,
2008-07,0.260,
2008-10,0.331,
2009-01,0.404,
2009-04,0.477,
2009-07,0.523,
2009-10,0.563,
2010-01,0.579,
2010-04,0.581,
2010-07,0.581,
2010-10,0.538,
2011-01,0.514,
2011-04,0.383,
2011-07,0.331,
2011-10,0.319,
2012-01,0.317,
2012-04,0.319,
2012-07,0.300,
2012-10,0.279,
2013-01,0.258,
2013-04,0.258,
2013-07,0.262,
2013-10,0.248,
2014-01,0.206,
2014-04,0.191,
2014-07,0.169,
