"",BBK01.OEXO04L,BBK01.OEXO04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:51,
2002-01,-0.023,
2002-04,0.129,
2002-07,0.972,
2002-10,0.748,
2003-01,0.528,
2003-04,-0.016,
2003-07,-0.062,
2003-10,-0.090,
2004-01,-0.060,
2004-04,-0.113,
2004-07,-0.027,
2004-10,-0.061,
2005-01,0.013,
2005-04,-0.050,
2005-07,-0.153,
2005-10,-0.001,
2006-01,-,Nothing exists
2006-04,0.029,
2006-07,0.124,
2006-10,-0.013,
2007-01,0.150,
2007-04,-0.213,
2007-07,-0.666,
2007-10,-0.514,
2008-01,-0.366,
2008-04,-0.080,
2008-07,0.069,
2008-10,0.627,
2009-01,0.268,
2009-04,0.196,
2009-07,0.847,
2009-10,-0.286,
2010-01,-0.312,
2010-04,-0.865,
2010-07,-0.078,
2010-10,0.698,
2011-01,0.760,
2011-04,-0.991,
2011-07,-0.049,
2011-10,-0.184,
2012-01,-0.170,
2012-04,0.034,
2012-07,-0.144,
2012-10,-0.219,
2013-01,-0.085,
2013-04,-0.001,
2013-07,0.125,
2013-10,0.121,
2014-01,0.020,
2014-04,0.044,
2014-07,0.262,
