"",BBK01.OEXB15U,BBK01.OEXB15U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:27,
2002-01,0.095,
2002-04,0.098,
2002-07,0.101,
2002-10,0.138,
2003-01,0.143,
2003-04,0.149,
2003-07,0.153,
2003-10,0.156,
2004-01,0.160,
2004-04,0.160,
2004-07,0.161,
2004-10,0.164,
2005-01,0.158,
2005-04,0.172,
2005-07,0.176,
2005-10,0.178,
2006-01,0.179,
2006-04,0.185,
2006-07,0.191,
2006-10,0.197,
2007-01,0.188,
2007-04,0.177,
2007-07,0.166,
2007-10,0.149,
2008-01,0.142,
2008-04,0.139,
2008-07,0.131,
2008-10,0.132,
2009-01,0.127,
2009-04,0.124,
2009-07,0.122,
2009-10,0.120,
2010-01,0.116,
2010-04,0.115,
2010-07,0.112,
2010-10,0.113,
2011-01,0.114,
2011-04,0.115,
2011-07,0.111,
2011-10,0.112,
2012-01,0.117,
2012-04,0.117,
2012-07,0.114,
2012-10,0.109,
2013-01,0.109,
2013-04,0.108,
2013-07,0.106,
2013-10,0.101,
2014-01,0.096,
2014-04,0.089,
2014-07,0.085,
