"",BBFB1.Q.N.DE.E1.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:10,
1991-01,11980.515,
1991-04,12399.637,
1991-07,12457.778,
1991-10,12357.525,
1992-01,12083.022,
1992-04,12485.120,
1992-07,12920.546,
1992-10,12552.438,
1993-01,13030.536,
1993-04,12816.680,
1993-07,12221.394,
1993-10,12869.089,
1994-01,11839.484,
1994-04,11374.655,
1994-07,11655.146,
1994-10,13391.289,
1995-01,11646.217,
1995-04,11662.364,
1995-07,11326.304,
1995-10,13995.050,
1996-01,11650.932,
1996-04,11372.192,
1996-07,11679.057,
1996-10,15129.367,
1997-01,12772.805,
1997-04,13445.116,
1997-07,12960.086,
1997-10,17707.182,
1998-01,13005.967,
1998-04,13680.088,
1998-07,13068.647,
1998-10,16777.387,
1999-01,14571.703,
1999-04,16722.284,
1999-07,15861.533,
1999-10,21164.439,
2000-01,18161.611,
2000-04,20600.137,
2000-07,19441.607,
2000-10,28273.279,
2001-01,20757.367,
2001-04,20892.369,
2001-07,18921.194,
2001-10,22242.568,
2002-01,19971.568,
2002-04,20432.922,
2002-07,20066.260,
2002-10,23189.916,
2003-01,20714.473,
2003-04,21454.449,
2003-07,21130.499,
2003-10,25784.990,
2004-01,24705.152,
2004-04,26412.333,
2004-07,26125.237,
2004-10,31329.047,
2005-01,29137.871,
2005-04,31040.235,
2005-07,30606.606,
2005-10,36452.338,
2006-01,35631.291,
2006-04,40133.280,
2006-07,39867.286,
2006-10,47842.980,
2007-01,49571.253,
2007-04,51864.607,
2007-07,47648.259,
2007-10,52107.955,
2008-01,42874.951,
2008-04,41491.621,
2008-07,36527.780,
2008-10,40111.290,
2009-01,36370.381,
2009-04,36679.226,
2009-07,35182.663,
2009-10,41677.968,
2010-01,36050.157,
2010-04,38998.575,
2010-07,37587.600,
2010-10,46380.619,
2011-01,41163.845,
2011-04,44147.664,
2011-07,42236.672,
2011-10,48377.925,
2012-01,41391.328,
2012-04,42493.888,
2012-07,40853.508,
2012-10,47579.323,
2013-01,41151.056,
2013-04,42205.224,
2013-07,39702.469,
2013-10,46736.686,
2014-01,39029.128,Provisional value
2014-04,41680.417,Provisional value
2014-07,39295.146,Provisional value
