"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.DK.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.DK.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Denmark,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:55,
2009-09,5770,
2009-10,6154,
2009-11,6557,
2009-12,7224,
2010-01,6509,
2010-02,6395,
2010-03,6518,
2010-04,6598,
2010-05,6636,
2010-06,6818,
2010-07,6881,
2010-08,7049,
2010-09,7175,
2010-10,7448,
2010-11,7274,
2010-12,7605,
2011-01,6879,
2011-02,7001,
2011-03,7080,
2011-04,7061,
2011-05,7347,
2011-06,7458,
2011-07,7695,
2011-08,7688,
2011-09,7603,
2011-10,7583,
2011-11,7423,
2011-12,7512,
2012-01,7394,
2012-02,7530,
2012-03,7560,
2012-04,7582,
2012-05,7827,
2012-06,8071,
2012-07,8367,
2012-08,8529,
2012-09,8706,
2012-10,8669,
2012-11,8756,
2012-12,9120,
2013-01,8516,
2013-02,8884,
2013-03,9151,
2013-04,9192,
2013-05,9315,
2013-06,8985,
2013-07,9058,
2013-08,9195,
2013-09,9641,
2013-10,9575,
2013-11,9478,
2013-12,9480,
2014-01,9163,
2014-02,9160,
2014-03,9318,
2014-04,9241,
2014-05,9612,
2014-06,10372,
2014-07,10304,
2014-08,10344,
2014-09,10486,
2014-10,10673,
2014-11,10917,
