"",BBK01.OELB20H,BBK01.OELB20H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:27,
2002-01,29.264,
2002-04,29.539,
2002-07,29.860,
2002-10,30.228,
2003-01,30.251,
2003-04,30.637,
2003-07,31.230,
2003-10,31.900,
2004-01,31.957,
2004-04,32.342,
2004-07,32.758,
2004-10,34.648,
2005-01,34.767,
2005-04,35.423,
2005-07,36.281,
2005-10,37.061,
2006-01,37.387,
2006-04,38.018,
2006-07,38.648,
2006-10,38.975,
2007-01,39.024,
2007-04,39.364,
2007-07,39.798,
2007-10,39.926,
2008-01,39.650,
2008-04,39.840,
2008-07,40.093,
2008-10,40.132,
2009-01,40.052,
2009-04,40.663,
2009-07,41.388,
2009-10,41.950,
2010-01,42.081,
2010-04,42.783,
2010-07,43.515,
2010-10,44.084,
2011-01,44.321,
2011-04,45.030,
2011-07,45.828,
2011-10,46.499,
2012-01,46.823,
2012-04,46.546,
2012-07,47.374,
2012-10,48.039,
2013-01,48.269,
2013-04,49.089,
2013-07,50.046,
2013-10,50.593,
2014-01,50.862,
2014-04,51.694,
2014-07,52.731,
