"",BBDE1.M.DE.Y.AEB5.N2C200000.F.V.I10.A,BBDE1.M.DE.Y.AEB5.N2C200000.F.V.I10.A_FLAGS
"",Orders received from abroad / At current prices / Germany / 20 Manufacture of chemicals and chemical products / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:53,
1991-01,52.5,
1991-02,51.4,
1991-03,49.7,
1991-04,51.3,
1991-05,50.2,
1991-06,49.4,
1991-07,51.0,
1991-08,50.8,
1991-09,50.8,
1991-10,53.7,
1991-11,52.6,
1991-12,52.3,
1992-01,50.7,
1992-02,50.7,
1992-03,51.4,
1992-04,49.3,
1992-05,50.3,
1992-06,50.5,
1992-07,48.3,
1992-08,47.2,
1992-09,47.8,
1992-10,45.9,
1992-11,46.6,
1992-12,46.4,
1993-01,44.8,
1993-02,48.2,
1993-03,45.7,
1993-04,46.2,
1993-05,46.3,
1993-06,47.1,
1993-07,46.4,
1993-08,46.7,
1993-09,47.0,
1993-10,47.3,
1993-11,48.3,
1993-12,49.8,
1994-01,49.9,
1994-02,50.9,
1994-03,51.0,
1994-04,50.6,
1994-05,51.3,
1994-06,50.7,
1994-07,51.3,
1994-08,52.2,
1994-09,55.2,
1994-10,55.6,
1994-11,56.7,
1994-12,59.3,
1995-01,59.3,
1995-02,59.2,
1995-03,58.4,
1995-04,58.6,
1995-05,58.2,
1995-06,60.6,
1995-07,58.4,
1995-08,57.8,
1995-09,56.7,
1995-10,55.6,
1995-11,54.7,
1995-12,54.8,
1996-01,56.6,
1996-02,55.7,
1996-03,56.2,
1996-04,58.5,
1996-05,58.7,
1996-06,55.7,
1996-07,57.6,
1996-08,58.0,
1996-09,58.6,
1996-10,58.9,
1996-11,60.7,
1996-12,57.7,
1997-01,63.4,
1997-02,63.1,
1997-03,64.5,
1997-04,64.2,
1997-05,66.2,
1997-06,63.3,
1997-07,66.1,
1997-08,67.1,
1997-09,66.5,
1997-10,68.2,
1997-11,65.0,
1997-12,67.6,
1998-01,68.0,
1998-02,66.2,
1998-03,65.9,
1998-04,64.2,
1998-05,63.8,
1998-06,63.9,
1998-07,62.6,
1998-08,61.8,
1998-09,58.2,
1998-10,56.6,
1998-11,56.7,
1998-12,60.4,
1999-01,59.8,
1999-02,58.6,
1999-03,59.5,
1999-04,61.1,
1999-05,60.6,
1999-06,62.4,
1999-07,63.8,
1999-08,63.3,
1999-09,64.7,
1999-10,67.5,
1999-11,70.3,
1999-12,69.7,
2000-01,68.0,
2000-02,69.7,
2000-03,72.6,
2000-04,71.7,
2000-05,73.8,
2000-06,76.2,
2000-07,78.2,
2000-08,78.4,
2000-09,80.6,
2000-10,80.4,
2000-11,80.6,
2000-12,79.2,
2001-01,75.9,
2001-02,75.4,
2001-03,73.7,
2001-04,75.1,
2001-05,73.6,
2001-06,76.4,
2001-07,73.4,
2001-08,75.5,
2001-09,71.2,
2001-10,70.7,
2001-11,69.4,
2001-12,67.3,
2002-01,69.6,
2002-02,73.5,
2002-03,73.9,
2002-04,77.7,
2002-05,78.3,
2002-06,76.1,
2002-07,75.4,
2002-08,75.0,
2002-09,76.1,
2002-10,72.1,
2002-11,76.0,
2002-12,75.0,
2003-01,76.0,
2003-02,77.3,
2003-03,78.1,
2003-04,76.0,
2003-05,72.1,
2003-06,74.3,
2003-07,75.5,
2003-08,75.6,
2003-09,74.9,
2003-10,77.2,
2003-11,74.9,
2003-12,81.0,
2004-01,79.9,
2004-02,77.1,
2004-03,77.1,
2004-04,79.7,
2004-05,78.9,
2004-06,81.3,
2004-07,82.6,
2004-08,85.3,
2004-09,86.5,
2004-10,86.4,
2004-11,86.0,
2004-12,91.8,
2005-01,88.9,
2005-02,87.4,
2005-03,89.2,
2005-04,86.6,
2005-05,87.3,
2005-06,86.4,
2005-07,89.5,
2005-08,89.4,
2005-09,91.1,
2005-10,91.3,
2005-11,91.3,
2005-12,96.4,
2006-01,92.2,
2006-02,93.0,
2006-03,91.7,
2006-04,92.5,
2006-05,95.6,
2006-06,96.4,
2006-07,95.2,
2006-08,96.5,
2006-09,98.0,
2006-10,100.0,
2006-11,100.9,
2006-12,97.7,
2007-01,99.1,
2007-02,101.3,
2007-03,99.1,
2007-04,101.7,
2007-05,101.2,
2007-06,103.7,
2007-07,101.5,
2007-08,104.2,
2007-09,103.6,
2007-10,104.6,
2007-11,111.0,
