"",BBK01.OEHJ10M,BBK01.OEHJ10M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:11,
2002-01,0.005,
2002-04,0.006,
2002-07,0.006,
2002-10,0.006,
2003-01,0.005,
2003-04,0.005,
2003-07,0.006,
2003-10,0.005,
2004-01,0.005,
2004-04,0.005,
2004-07,0.005,
2004-10,0.005,
2005-01,0.005,
2005-04,0.005,
2005-07,0.005,
2005-10,0.005,
2006-01,0.005,
2006-04,0.005,
2006-07,0.004,
2006-10,0.004,
2007-01,0.004,
2007-04,0.004,
2007-07,0.004,
2007-10,0.004,
2008-01,0.058,
2008-04,0.086,
2008-07,0.189,
2008-10,0.210,
2009-01,0.210,
2009-04,0.229,
2009-07,0.219,
2009-10,0.214,
2010-01,0.214,
2010-04,0.211,
2010-07,0.205,
2010-10,0.201,
2011-01,0.195,
2011-04,0.193,
2011-07,0.188,
2011-10,0.184,
2012-01,0.018,
2012-04,0.011,
2012-07,0.010,
2012-10,0.009,
2013-01,0.009,
2013-04,0.007,
2013-07,0.007,
2013-10,0.008,
2014-01,0.006,
2014-04,0.007,
2014-07,0.006,
