"",BBFN1.M.DE.N.1.A.LU.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.LU.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Luxembourg,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:11:22,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,0.291,
1995-01,0.303,
1995-02,0.286,
1995-03,0.301,
1995-04,0.292,
1995-05,0.288,
1995-06,0.319,
1995-07,0.319,
1995-08,0.295,
1995-09,0.286,
1995-10,0.289,
1995-11,0.301,
1995-12,0.271,
1996-01,0.263,
1996-02,0.277,
1996-03,0.298,
1996-04,0.292,
1996-05,0.291,
1996-06,0.315,
1996-07,0.299,
1996-08,0.307,
1996-09,0.310,
1996-10,0.328,
1996-11,0.337,
1996-12,0.315,
1997-01,0.293,
1997-02,0.297,
1997-03,0.302,
1997-04,0.310,
1997-05,0.292,
1997-06,0.313,
1997-07,0.320,
1997-08,0.315,
1997-09,0.363,
1997-10,0.327,
1997-11,0.366,
1997-12,0.365,
1998-01,0.364,
1998-02,0.386,
1998-03,0.402,
1998-04,0.425,
1998-05,0.403,
1998-06,0.428,
1998-07,0.406,
1998-08,0.352,
1998-09,0.359,
1998-10,0.355,
1998-11,0.364,
1998-12,0.356,
1999-01,0.343,
1999-02,0.324,
1999-03,0.375,
1999-04,0.386,
1999-05,0.411,
1999-06,0.446,
1999-07,0.505,
1999-08,0.441,
1999-09,0.627,
1999-10,0.637,
1999-11,0.503,
1999-12,0.481,
2000-01,0.499,
2000-02,0.511,
2000-03,0.550,
2000-04,0.495,
2000-05,0.506,
2000-06,0.415,
2000-07,0.472,
2000-08,0.480,
2000-09,0.501,
2000-10,0.507,
2000-11,0.577,
2000-12,0.524,
2001-01,0.550,
2001-02,0.616,
2001-03,0.616,
2001-04,0.611,
2001-05,0.571,
2001-06,0.554,
2001-07,0.554,
2001-08,0.572,
2001-09,0.530,
2001-10,0.567,
2001-11,0.580,
2001-12,0.648,
2002-01,0.660,
2002-02,0.614,
2002-03,0.571,
2002-04,0.575,
2002-05,0.554,
2002-06,0.543,
2002-07,0.510,
2002-08,0.504,
2002-09,0.585,
2002-10,0.693,
2002-11,0.777,
2002-12,0.759,
2003-01,0.791,
2003-02,0.853,
2003-03,0.952,
2003-04,0.929,
2003-05,0.766,
2003-06,0.685,
2003-07,0.640,
2003-08,0.580,
2003-09,0.675,
2003-10,0.718,
2003-11,0.687,
2003-12,0.601,
2004-01,0.632,
2004-02,0.652,
2004-03,0.690,
2004-04,0.662,
2004-05,0.678,
2004-06,0.701,
2004-07,0.671,
2004-08,0.654,
2004-09,0.734,
2004-10,0.733,
2004-11,0.791,
2004-12,0.800,
2005-01,0.790,
2005-02,0.812,
2005-03,0.781,
2005-04,0.732,
2005-05,0.772,
2005-06,0.802,
2005-07,0.718,
2005-08,0.721,
2005-09,0.783,
2005-10,0.789,
2005-11,0.834,
2005-12,0.826,
2006-01,0.907,
2006-02,0.896,
2006-03,0.960,
2006-04,0.823,
2006-05,1.019,
2006-06,0.965,
2006-07,0.887,
2006-08,1.006,
2006-09,1.133,
2006-10,1.160,
2006-11,1.199,
2006-12,1.140,
2007-01,1.274,
2007-02,1.308,
2007-03,1.309,
2007-04,1.229,
2007-05,1.262,
2007-06,1.329,
2007-07,1.291,
2007-08,1.315,
2007-09,1.249,
2007-10,1.261,
2007-11,1.248,
2007-12,1.182,
2008-01,1.248,
2008-02,1.454,
2008-03,1.480,
2008-04,1.567,
2008-05,1.550,
2008-06,1.663,
2008-07,1.683,
2008-08,1.676,
2008-09,1.758,
2008-10,1.729,
2008-11,1.801,
2008-12,1.515,
2009-01,1.505,
2009-02,1.614,
2009-03,1.624,
2009-04,1.551,
2009-05,1.558,
2009-06,1.753,
2009-07,1.753,
2009-08,1.758,
2009-09,1.975,
2009-10,1.910,
2009-11,2.080,
2009-12,1.660,
2010-01,1.662,
2010-02,1.677,
2010-03,1.620,
2010-04,1.907,
2010-05,2.340,
2010-06,2.367,
2010-07,2.425,
2010-08,2.187,
2010-09,2.180,
2010-10,2.370,
2010-11,2.220,
2010-12,2.112,
2011-01,2.096,
2011-02,2.309,
2011-03,2.408,
2011-04,2.455,
2011-05,2.466,
2011-06,3.801,
2011-07,3.837,
2011-08,3.460,
2011-09,3.546,
2011-10,3.555,
2011-11,3.556,
2011-12,2.581,
2012-01,2.428,
2012-02,2.521,
2012-03,2.499,
2012-04,2.405,
2012-05,2.534,
2012-06,2.617,
2012-07,2.631,
2012-08,2.448,
2012-09,2.555,
2012-10,2.614,
2012-11,2.607,
2012-12,2.205,
2013-01,2.393,
2013-02,2.452,
2013-03,2.480,
2013-04,2.515,
2013-05,2.404,
2013-06,2.538,
2013-07,2.446,
2013-08,2.481,
2013-09,2.835,
2013-10,2.885,
2013-11,2.931,
2013-12,2.611,
2014-01,2.702,
2014-02,2.607,
2014-03,2.647,
2014-04,2.883,
2014-05,2.914,
2014-06,2.677,
2014-07,2.975,
2014-08,2.655,
2014-09,2.690,
2014-10,2.943,
2014-11,2.730,
2014-12,2.614,
