"",BBSF2.M.1.T.00000.IMM01.I.F.GSS.FI.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.GSS.FI.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Properties / Finland,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:43,
2009-09,297,
2009-10,297,
2009-11,298,
2009-12,298,
2010-01,298,
2010-02,299,
2010-03,300,
2010-04,298,
2010-05,296,
2010-06,295,
2010-07,296,
2010-08,296,
2010-09,296,
2010-10,297,
2010-11,297,
2010-12,297,
2011-01,295,
2011-02,295,
2011-03,295,
2011-04,292,
2011-05,291,
2011-06,281,
2011-07,281,
2011-08,281,
2011-09,281,
2011-10,281,
2011-11,281,
2011-12,281,
2012-01,278,
2012-02,278,
2012-03,278,
2012-04,278,
2012-05,277,
2012-06,274,
2012-07,274,
2012-08,274,
2012-09,274,
2012-10,274,
2012-11,274,
2012-12,274,
2013-01,269,
2013-02,269,
2013-03,268,
2013-04,298,
2013-05,293,
2013-06,293,
2013-07,293,
2013-08,269,
2013-09,270,
2013-10,270,
2013-11,269,
2013-12,269,
2014-01,267,
2014-02,267,
2014-03,266,
2014-04,243,
2014-05,243,
2014-06,242,
2014-07,242,
2014-08,242,
2014-09,242,
2014-10,242,
2014-11,239,
