"",BBSF2.M.1.S.I1252.GEF01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.GEF01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Net sales receipts / Other insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:47,
2009-09,-22,
2009-10,-372,
2009-11,86,
2009-12,254,
2010-01,1085,
2010-02,-100,
2010-03,655,
2010-04,340,
2010-05,44,
2010-06,57,
2010-07,281,
2010-08,242,
2010-09,325,
2010-10,-231,
2010-11,155,
2010-12,-206,
2011-01,-411,
2011-02,-105,
2011-03,44,
2011-04,164,
2011-05,-92,
2011-06,35,
2011-07,1411,
2011-08,36,
2011-09,-279,
2011-10,117,
2011-11,-88,
2011-12,99,
2012-01,-9,
2012-02,741,
2012-03,234,
2012-04,12,
2012-05,-262,
2012-06,203,
2012-07,273,
2012-08,118,
2012-09,-680,
2012-10,-168,
2012-11,-686,
2012-12,-479,
2013-01,778,
2013-02,203,
2013-03,-186,
2013-04,339,
2013-05,473,
2013-06,23,
2013-07,83,
2013-08,137,
2013-09,-6,
2013-10,391,
2013-11,-16,
2013-12,105,
2014-01,-11,
2014-02,291,
2014-03,-379,
2014-04,91,
2014-05,181,
2014-06,-98,
2014-07,-1319,
2014-08,73,
2014-09,-174,
2014-10,499,
2014-11,-39,
