"",BBK01.OEGB13I,BBK01.OEGB13I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:03,
2002-01,2.850,
2002-04,2.844,
2002-07,2.813,
2002-10,2.746,
2003-01,2.696,
2003-04,2.647,
2003-07,3.528,
2003-10,3.372,
2004-01,3.291,
2004-04,3.198,
2004-07,3.045,
2004-10,2.959,
2005-01,2.954,
2005-04,2.923,
2005-07,3.156,
2005-10,2.986,
2006-01,2.884,
2006-04,2.854,
2006-07,2.941,
2006-10,2.552,
2007-01,2.472,
2007-04,2.408,
2007-07,2.362,
2007-10,2.314,
2008-01,2.240,
2008-04,2.233,
2008-07,2.200,
2008-10,1.939,
2009-01,1.907,
2009-04,1.864,
2009-07,1.849,
2009-10,1.846,
2010-01,1.844,
2010-04,1.842,
2010-07,1.840,
2010-10,1.839,
2011-01,1.807,
2011-04,1.790,
2011-07,1.796,
2011-10,1.751,
2012-01,1.719,
2012-04,1.699,
2012-07,1.683,
2012-10,1.666,
2013-01,1.640,
2013-04,1.627,
2013-07,1.583,
2013-10,1.560,
2014-01,1.555,
2014-04,1.583,
2014-07,1.579,
