"",BBEX3.M.COP.EUR.CA.AB.A01,BBEX3.M.COP.EUR.CA.AB.A01_FLAGS
"",Exchange rates and comparable rates for the euro in Colombia * / EUR 1 = COP ... (selling),
unit,COP (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:46,
1999-01,1800.16,
1999-02,1736.09,
1999-03,1648.05,
1999-04,1701.39,
1999-05,1750.32,
1999-06,1790.45,
1999-07,1933.42,
1999-08,2071.00,
1999-09,2150.83,
1999-10,2075.34,
1999-11,1943.95,
1999-12,1880.19,
2000-01,1932.64,
2000-02,1889.72,
2000-03,1876.84,
2000-04,1824.95,
2000-05,1943.78,
2000-06,2037.15,
2000-07,2005.88,
2000-08,1969.98,
2000-09,1953.41,
2000-10,1821.20,
2000-11,1887.55,
2000-12,2067.34,
2001-01,2086.19,
2001-02,2065.91,
2001-03,2037.02,
2001-04,2084.30,
2001-05,1993.95,
2001-06,1948.78,
2001-07,2006.36,
2001-08,2110.99,
2001-09,2138.42,
2001-10,2083.34,
2001-11,2051.10,
2001-12,2036.30,
2002-01,1957.09,
2002-02,2003.30,
2002-03,1984.40,
2002-04,2049.87,
2002-05,2183.15,
2002-06,2375.19,
2002-07,2569.79,
2002-08,2664.80,
2002-09,2796.08,
2002-10,2751.54,
2002-11,2747.09,
2002-12,3003.05,
2003-01,3142.74,
2003-02,3189.77,
2003-03,3228.24,
2003-04,3214.70,
2003-05,3376.85,
2003-06,3219.57,
2003-07,3260.53,
2003-08,3110.32,
2003-09,3367.08,
2003-10,3352.10,
2003-11,3405.18,
2003-12,3509.98,
2004-01,3394.58,
2004-02,3336.94,
2004-03,3274.09,
2004-04,3162.45,
2004-05,3324.58,
2004-06,3281.51,
2004-07,3153.82,
2004-08,3090.35,
2004-09,3220.77,
2004-10,3294.51,
2004-11,3296.43,
2004-12,3259.83,
2005-01,3087.38,
2005-02,3081.93,
2005-03,3080.91,
2005-04,3039.06,
2005-05,2876.91,
2005-06,2820.10,
2005-07,2795.49,
2005-08,2811.24,
2005-09,2757.57,
2005-10,2753.19,
2005-11,2676.55,
2005-12,2695.26,
2006-01,2745.78,
2006-02,2669.07,
2006-03,2772.01,
2006-04,2978.82,
2006-05,3195.00,
2006-06,3348.13,
2006-07,3097.82,
2006-08,3080.35,
2006-09,3034.92,
2006-10,2939.80,
2006-11,3036.73,
2006-12,2949.37,
2007-01,2927.47,
2007-02,2938.52,
2007-03,2870.58,
2007-04,2872.03,
2007-05,2597.98,
2007-06,2645.10,
2007-07,2703.35,
2007-08,2979.33,
2007-09,2854.94,
2007-10,2889.27,
2007-11,3042.06,
2007-12,2967.47,
2008-01,2884.87,
2008-02,2796.49,
2008-03,2880.60,
2008-04,2766.83,
2008-05,2723.39,
2008-06,3033.80,
2008-07,2798.40,
2008-08,2812.04,
2008-09,3111.00,
2008-10,3095.11,
2008-11,2958.59,
2008-12,3125.37,
2009-01,3059.55,
2009-02,3230.86,
2009-03,3409.03,
2009-04,3040.25,
2009-05,3088.31,
2009-06,3051.77,
2009-07,2889.34,
2009-08,2904.69,
2009-09,2814.62,
2009-10,2967.02,
2009-11,3001.31,
2009-12,2946.82,
2010-01,2781.31,
2010-02,2635.48,
2010-03,2600.19,
2010-04,2623.21,
2010-05,2426.74,
2010-06,2352.04,
2010-07,2399.25,
2010-08,2313.45,
2010-09,2456.93,
2010-10,2550.08,
2010-11,2492.30,
2010-12,2645.11,
2011-01,2544.70,
2011-02,2622.83,
2011-03,2670.86,
2011-04,2627.40,
2011-05,2614.93,
2011-06,2573.92,
2011-07,2526.37,
2011-08,2577.92,
2011-09,2586.50,
2011-10,2609.17,
2011-11,2640.54,
2011-12,2515.50,
2012-01,2392.16,
2012-02,2377.18,
2012-03,2384.25,
2012-04,2327.95,
2012-05,2267.67,
2012-06,2273.58,
2012-07,2198.44,
2012-08,2309.00,
2012-09,2325.31,
2012-10,2378.54,
2012-11,2361.50,
2012-12,2334.49,
2013-01,2403.34,
2013-02,2385.51,
2013-03,2347.28,
2013-04,2391.17,
2013-05,2460.67,
2013-06,2515.48,
2013-07,2509.94,
2013-08,2572.14,
2013-09,2586.38,
2013-10,2570.69,
2013-11,2625.14,
2013-12,2659.04,
2014-01,2714.85,
2014-02,2839.10,
2014-03,2710.67,
2014-04,2681.22,
2014-05,2594.41,
2014-06,2570.41,
2014-07,2506.37,
2014-08,2552.64,
2014-09,2553.33,
2014-10,2568.67,
2014-11,2703.53,
2014-12,2907.14,
2015-01,2711.18,
"","Source: Since April 2003: Superintendencia Financiera de Colombia, Bogotá, D.C. (formerly: Superintendencia Bancaria de Colombia). 1999 - March 2003: Dresdner Bank Lateinamerika AG, Hamburg.",
"","Methodology: * We only have data on exchange rates for the euro in Colombia up until March 2003. From April 2003, the quoted figures are comparable rates calculated on the basis of the exchange rates for the US dollar in Colombia in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar.",
