"",BBSF2.M.1.T.00000.DAC01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DAC01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Funds-of-funds / Number,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:47:06,
2009-09,349,
2009-10,351,
2009-11,357,
2009-12,353,
2010-01,348,
2010-02,349,
2010-03,352,
2010-04,350,
2010-05,350,
2010-06,341,
2010-07,335,
2010-08,341,
2010-09,345,
2010-10,344,
2010-11,344,
2010-12,337,
2011-01,332,
2011-02,328,
2011-03,328,
2011-04,330,
2011-05,329,
2011-06,325,
2011-07,331,
2011-08,333,
2011-09,335,
2011-10,333,
2011-11,332,
2011-12,330,
2012-01,328,
2012-02,326,
2012-03,327,
2012-04,333,
2012-05,333,
2012-06,334,
2012-07,336,
2012-08,336,
2012-09,334,
2012-10,333,
2012-11,335,
2012-12,334,
2013-01,335,
2013-02,331,
2013-03,330,
2013-04,330,
2013-05,326,
2013-06,319,
2013-07,317,
2013-08,318,
2013-09,314,
2013-10,315,
2013-11,312,
2013-12,314,
2014-01,312,
2014-02,312,
2014-03,312,
2014-04,313,
2014-05,312,
2014-06,318,
2014-07,320,
2014-08,322,
2014-09,322,
2014-10,322,
2014-11,322,
