"",BBK01.CEL309,BBK01.CEL309_FLAGS
"",Debt securities                                  debtor: Total            creditor: Investment fund shares,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:53,
1999-01,22.5,
1999-04,15.2,
1999-07,14.6,
1999-10,10.7,
2000-01,15.5,
2000-04,-1.5,
2000-07,7.4,
2000-10,-8.0,
2001-01,8.3,
2001-04,5.2,
2001-07,2.0,
2001-10,4.4,
2002-01,13.8,
2002-04,1.2,
2002-07,6.0,
2002-10,6.1,
2003-01,11.0,
2003-04,11.6,
2003-07,21.3,
2003-10,-1.9,
2004-01,-0.3,
2004-04,9.1,
2004-07,2.9,
2004-10,-9.8,
2005-01,10.8,
2005-04,4.9,
2005-07,9.6,
2005-10,6.4,
2006-01,-0.6,
2006-04,15.2,
2006-07,15.1,
2006-10,-8.4,
2007-01,12.5,
2007-04,7.0,
2007-07,-2.4,
2007-10,-0.4,
2008-01,-16.2,
2008-04,12.4,
2008-07,-6.2,
2008-10,-28.7,
2009-01,15.8,
2009-04,31.7,
2009-07,32.2,
2009-10,8.0,
2010-01,16.5,
2010-04,21.3,
2010-07,-12.0,
2010-10,11.7,
2011-01,13.0,
2011-04,14.1,
2011-07,-6.3,
2011-10,-30.2,
2012-01,6.1,
2012-04,22.7,
2012-07,-5.8,
2012-10,32.7,
2013-01,13.6,
2013-04,10.7,
2013-07,13.7,
2013-10,7.6,
2014-01,17.9,
2014-04,10.6,
2014-07,8.9,
