"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.U201.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.U201.00000.000000.Z01.00_FLAGS
"","Special investors funds / Funds total / Shares / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:03,
2009-09,37121,
2009-10,35931,
2009-11,35864,
2009-12,37734,
2010-01,36146,
2010-02,34974,
2010-03,38190,
2010-04,36792,
2010-05,33886,
2010-06,33454,
2010-07,35528,
2010-08,34264,
2010-09,36078,
2010-10,37765,
2010-11,35339,
2010-12,37398,
2011-01,39603,
2011-02,40080,
2011-03,39369,
2011-04,39630,
2011-05,38023,
2011-06,37514,
2011-07,35235,
2011-08,31099,
2011-09,29165,
2011-10,31521,
2011-11,29482,
2011-12,29714,
2012-01,30392,
2012-02,31032,
2012-03,30461,
2012-04,28686,
2012-05,26826,
2012-06,28168,
2012-07,28907,
2012-08,28950,
2012-09,29169,
2012-10,29683,
2012-11,30334,
2012-12,31365,
2013-01,32824,
2013-02,32339,
2013-03,32546,
2013-04,34430,
2013-05,35739,
2013-06,33692,
2013-07,36499,
2013-08,36730,
2013-09,38407,
2013-10,40987,
2013-11,40979,
2013-12,40216,
2014-01,38790,
2014-02,41017,
2014-03,41826,
2014-04,42756,
2014-05,43778,
2014-06,43458,
2014-07,42235,
2014-08,42666,
2014-09,43052,
2014-10,41828,
2014-11,43126,
