"",BBK01.OEXB14R,BBK01.OEXB14R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:50,
2002-01,0.124,
2002-04,0.123,
2002-07,0.122,
2002-10,0.125,
2003-01,0.124,
2003-04,0.132,
2003-07,0.122,
2003-10,0.102,
2004-01,0.102,
2004-04,0.107,
2004-07,0.120,
2004-10,0.067,
2005-01,0.082,
2005-04,0.078,
2005-07,0.100,
2005-10,0.084,
2006-01,0.086,
2006-04,0.088,
2006-07,0.086,
2006-10,0.083,
2007-01,0.090,
2007-04,0.117,
2007-07,0.120,
2007-10,0.123,
2008-01,0.126,
2008-04,0.108,
2008-07,0.099,
2008-10,0.103,
2009-01,0.064,
2009-04,0.060,
2009-07,0.060,
2009-10,0.056,
2010-01,0.061,
2010-04,0.063,
2010-07,0.059,
2010-10,0.057,
2011-01,0.055,
2011-04,0.052,
2011-07,0.054,
2011-10,0.051,
2012-01,0.058,
2012-04,0.060,
2012-07,0.051,
2012-10,0.050,
2013-01,0.049,
2013-04,0.049,
2013-07,0.044,
2013-10,0.047,
2014-01,0.043,
2014-04,0.046,
2014-07,0.044,
