"",BBK01.OEAE06O,BBK01.OEAE06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:50,
2002-01,3.792,
2002-04,3.643,
2002-07,3.723,
2002-10,3.692,
2003-01,3.702,
2003-04,3.682,
2003-07,3.412,
2003-10,3.565,
2004-01,3.510,
2004-04,3.492,
2004-07,3.465,
2004-10,3.407,
2005-01,3.344,
2005-04,3.326,
2005-07,3.315,
2005-10,3.135,
2006-01,3.145,
2006-04,3.215,
2006-07,3.180,
2006-10,3.177,
2007-01,3.206,
2007-04,3.229,
2007-07,3.233,
2007-10,3.282,
2008-01,3.324,
2008-04,3.317,
2008-07,3.257,
2008-10,3.323,
2009-01,3.279,
2009-04,3.249,
2009-07,3.232,
2009-10,3.129,
2010-01,4.572,
2010-04,3.463,
2010-07,3.401,
2010-10,3.724,
2011-01,3.314,
2011-04,3.367,
2011-07,3.415,
2011-10,3.363,
2012-01,3.364,
2012-04,3.366,
2012-07,3.401,
2012-10,3.441,
2013-01,3.415,
2013-04,3.437,
2013-07,3.804,
2013-10,3.801,
2014-01,3.973,
2014-04,4.073,
2014-07,3.972,
