"",BBFN1.M.DE.N.1.L.ES.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.ES.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Spain,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:16,
1982-09,0.004,
1982-10,0.004,
1982-11,0.004,
1982-12,0.004,
1983-01,0.004,
1983-02,0.003,
1983-03,0.004,
1983-04,0.004,
1983-05,0.004,
1983-06,0.004,
1983-07,0.004,
1983-08,0.004,
1983-09,0.004,
1983-10,0.004,
1983-11,0.004,
1983-12,0.004,
1984-01,0.004,
1984-02,0.004,
1984-03,0.004,
1984-04,0.004,
1984-05,0.005,
1984-06,0.005,
1984-07,0.005,
1984-08,0.004,
1984-09,0.005,
1984-10,0.006,
1984-11,0.006,
1984-12,0.006,
1985-01,0.006,
1985-02,0.007,
1985-03,0.007,
1985-04,0.008,
1985-05,0.008,
1985-06,0.009,
1985-07,0.008,
1985-08,0.008,
1985-09,0.009,
1985-10,0.009,
1985-11,0.009,
1985-12,0.008,
1986-01,0.008,
1986-02,0.007,
1986-03,0.009,
1986-04,0.009,
1986-05,0.009,
1986-06,0.009,
1986-07,0.009,
1986-08,0.009,
1986-09,0.010,
1986-10,0.010,
1986-11,0.010,
1986-12,0.010,
1987-01,0.012,
1987-02,0.007,
1987-03,0.007,
1987-04,0.007,
1987-05,0.007,
1987-06,0.007,
1987-07,0.005,
1987-08,0.005,
1987-09,0.005,
1987-10,0.005,
1987-11,0.005,
1987-12,0.005,
1988-01,0.005,
1988-02,0.005,
1988-03,0.008,
1988-04,0.008,
1988-05,0.008,
1988-06,0.008,
1988-07,0.008,
1988-08,0.009,
1988-09,0.009,
1988-10,0.009,
1988-11,0.009,
1988-12,0.009,
1989-01,0.027,
1989-02,0.027,
1989-03,0.027,
1989-04,0.028,
1989-05,0.043,
1989-06,0.043,
1989-07,0.043,
1989-08,0.043,
1989-09,0.045,
1989-10,0.045,
1989-11,0.044,
1989-12,0.044,
1990-01,0.044,comment
1990-02,0.044,
1990-03,0.044,
1990-04,0.044,
1990-05,0.043,
1990-06,0.043,
1990-07,0.043,
1990-08,0.043,
1990-09,0.046,
1990-10,0.046,
1990-11,0.045,
1990-12,0.045,
1991-01,0.046,
1991-02,0.047,
1991-03,0.048,
1991-04,0.050,
1991-05,0.050,
1991-06,0.049,
1991-07,0.048,
1991-08,0.048,
1991-09,0.047,
1991-10,0.047,
1991-11,0.047,
1991-12,0.047,
1992-01,0.060,
1992-02,0.061,
1992-03,0.062,
1992-04,0.062,
1992-05,0.064,
1992-06,0.065,
1992-07,0.063,
1992-08,0.063,
1992-09,0.061,
1992-10,0.061,
1992-11,0.061,
1992-12,0.061,
1993-01,0.093,
1993-02,0.090,
1993-03,0.092,
1993-04,0.090,
1993-05,0.092,
1993-06,0.095,
1993-07,0.094,
1993-08,0.094,
1993-09,0.094,
1993-10,0.094,
1993-11,0.094,
1993-12,0.094,
1994-01,0.081,
1994-02,0.081,
1994-03,0.079,
1994-04,0.079,
1994-05,0.081,
1994-06,0.079,
1994-07,0.079,
1994-08,0.078,
1994-09,0.079,
1994-10,0.079,
1994-11,0.079,
1994-12,0.079,
1995-01,0.098,
1995-02,0.098,
1995-03,0.099,
1995-04,0.123,
1995-05,0.123,
1995-06,0.181,
1995-07,0.180,
1995-08,0.182,
1995-09,0.182,
1995-10,0.182,
1995-11,0.187,
1995-12,0.100,
1996-01,0.100,
1996-02,0.100,
1996-03,0.098,
1996-04,0.098,
1996-05,0.089,
1996-06,0.095,
1996-07,0.089,
1996-08,0.096,
1996-09,0.096,
1996-10,0.097,
1996-11,0.097,
1996-12,0.098,
1997-01,0.098,
1997-02,0.091,
1997-03,0.092,
1997-04,0.091,
1997-05,0.086,
1997-06,0.086,
1997-07,0.087,
1997-08,0.088,
1997-09,0.088,
1997-10,0.088,
1997-11,0.103,
1997-12,0.102,
1998-01,0.401,
1998-02,0.409,
1998-03,0.396,
1998-04,0.386,
1998-05,0.376,
1998-06,0.367,
1998-07,0.577,
1998-08,0.602,
1998-09,0.602,
1998-10,0.602,
1998-11,0.650,
1998-12,0.644,
1999-01,0.649,
1999-02,0.635,
1999-03,0.635,
1999-04,0.626,
1999-05,0.616,
1999-06,0.639,
1999-07,0.629,
1999-08,0.618,
1999-09,0.619,
1999-10,0.647,
1999-11,0.637,
1999-12,0.777,
2000-01,0.772,
2000-02,0.810,
2000-03,0.810,
2000-04,0.809,
2000-05,0.773,
2000-06,0.776,
2000-07,0.781,
2000-08,0.758,
2000-09,0.782,
2000-10,0.745,
2000-11,0.750,
2000-12,0.742,
2001-01,0.749,
2001-02,0.749,
2001-03,0.749,
2001-04,0.548,
2001-05,0.605,
2001-06,0.618,
2001-07,0.625,
2001-08,0.625,
2001-09,0.639,
2001-10,0.641,
2001-11,0.906,
2001-12,0.883,
2002-01,4.887,
2002-02,5.348,
2002-03,5.342,
2002-04,5.519,
2002-05,5.388,
2002-06,1.372,
2002-07,1.123,
2002-08,1.232,
2002-09,1.266,
2002-10,1.298,
2002-11,1.351,
2002-12,1.284,
2003-01,1.288,
2003-02,1.302,
2003-03,1.388,
2003-04,1.388,
2003-05,1.453,
2003-06,1.473,
2003-07,1.660,
2003-08,1.641,
2003-09,1.642,
2003-10,1.681,
2003-11,1.676,
2003-12,1.635,
2004-01,1.667,
2004-02,1.522,
2004-03,1.518,
2004-04,1.562,
2004-05,1.527,
2004-06,1.140,
2004-07,1.142,
2004-08,1.158,
2004-09,1.191,
2004-10,1.146,
2004-11,1.163,
2004-12,1.578,
2005-01,1.611,
2005-02,1.410,
2005-03,1.406,
2005-04,1.419,
2005-05,1.411,
2005-06,1.417,
2005-07,1.431,
2005-08,1.436,
2005-09,1.439,
2005-10,1.443,
2005-11,1.446,
2005-12,1.588,
2006-01,1.598,
2006-02,1.605,
2006-03,1.604,
2006-04,1.616,
2006-05,1.623,
2006-06,1.741,
2006-07,1.745,
2006-08,1.710,
2006-09,1.718,
2006-10,1.718,
2006-11,1.722,
2006-12,1.589,
2007-01,1.607,
2007-02,1.602,
2007-03,1.529,
2007-04,1.533,
2007-05,1.548,
2007-06,1.553,
2007-07,1.566,
2007-08,1.805,
2007-09,1.757,
2007-10,1.707,
2007-11,1.772,
2007-12,1.818,
2008-01,1.868,
2008-02,2.565,
2008-03,2.380,
2008-04,2.457,
2008-05,3.095,
2008-06,3.102,
2008-07,3.086,
2008-08,3.193,
2008-09,3.413,
2008-10,3.540,
2008-11,3.836,
2008-12,3.800,
2009-01,3.820,
2009-02,4.760,
2009-03,4.687,
2009-04,4.426,
2009-05,4.400,
2009-06,4.491,
2009-07,4.546,
2009-08,5.148,
2009-09,5.152,
2009-10,5.160,
2009-11,5.173,
2009-12,5.222,
2010-01,5.211,
2010-02,5.394,
2010-03,4.461,
2010-04,4.462,
2010-05,4.391,
2010-06,4.402,
2010-07,4.395,
2010-08,4.395,
2010-09,4.448,
2010-10,4.311,
2010-11,4.157,
2010-12,4.355,
2011-01,4.059,
2011-02,4.048,
2011-03,4.856,
2011-04,4.646,
2011-05,4.573,
2011-06,4.561,
2011-07,4.883,
2011-08,4.966,
2011-09,4.997,
2011-10,4.929,
2011-11,5.225,
2011-12,5.690,
2012-01,5.461,
2012-02,6.332,
2012-03,6.258,
2012-04,6.692,
2012-05,6.758,
2012-06,6.738,
2012-07,6.663,
2012-08,6.609,
2012-09,6.593,
2012-10,6.567,
2012-11,6.564,
2012-12,6.662,
2013-01,6.519,
2013-02,6.609,
2013-03,6.544,
2013-04,6.499,
2013-05,6.604,
2013-06,6.753,
2013-07,6.835,
2013-08,6.829,
2013-09,6.810,
2013-10,6.826,
2013-11,6.825,
2013-12,3.490,
2014-01,3.481,
2014-02,3.504,
2014-03,3.486,
2014-04,3.472,
2014-05,3.517,
2014-06,3.526,
2014-07,3.487,
2014-08,3.791,
2014-09,3.688,
2014-10,3.688,
2014-11,3.667,
2014-12,3.710,
