"",BBK01.OEAC33J,BBK01.OEAC33J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:07,
2002-01,0.008,
2002-04,0.009,
2002-07,0.013,
2002-10,0.014,
2003-01,0.012,
2003-04,0.010,
2003-07,0.011,
2003-10,0.011,
2004-01,0.009,
2004-04,0.009,
2004-07,0.002,
2004-10,0.003,
2005-01,0.004,
2005-04,0.008,
2005-07,0.008,
2005-10,0.010,
2006-01,0.011,
2006-04,0.012,
2006-07,0.011,
2006-10,0.012,
2007-01,0.009,
2007-04,0.009,
2007-07,0.008,
2007-10,0.006,
2008-01,0.007,
2008-04,0.006,
2008-07,0.006,
2008-10,0.015,
2009-01,0.050,
2009-04,0.057,
2009-07,0.056,
2009-10,0.070,
2010-01,0.050,
2010-04,0.056,
2010-07,0.059,
2010-10,0.047,
2011-01,0.042,
2011-04,0.037,
2011-07,0.060,
2011-10,0.067,
2012-01,0.073,
2012-04,0.085,
2012-07,0.078,
2012-10,0.074,
2013-01,0.071,
2013-04,0.066,
2013-07,0.048,
2013-10,0.042,
2014-01,0.037,
2014-04,0.034,
2014-07,0.035,
