"",BBK01.OEXB13I,BBK01.OEXB13I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:13,
2002-01,3.212,
2002-04,3.189,
2002-07,3.208,
2002-10,3.140,
2003-01,3.139,
2003-04,3.033,
2003-07,2.233,
2003-10,2.176,
2004-01,2.126,
2004-04,2.143,
2004-07,2.129,
2004-10,2.123,
2005-01,2.129,
2005-04,2.166,
2005-07,2.018,
2005-10,2.021,
2006-01,2.112,
2006-04,2.101,
2006-07,1.542,
2006-10,2.055,
2007-01,2.016,
2007-04,2.024,
2007-07,2.008,
2007-10,1.893,
2008-01,2.041,
2008-04,2.127,
2008-07,2.168,
2008-10,2.291,
2009-01,2.404,
2009-04,2.452,
2009-07,2.471,
2009-10,2.580,
2010-01,2.565,
2010-04,2.538,
2010-07,2.297,
2010-10,2.326,
2011-01,2.351,
2011-04,2.384,
2011-07,2.407,
2011-10,2.385,
2012-01,2.417,
2012-04,2.434,
2012-07,2.447,
2012-10,2.448,
2013-01,2.444,
2013-04,2.467,
2013-07,2.487,
2013-10,2.508,
2014-01,2.522,
2014-04,2.504,
2014-07,2.519,
