"",BBFB1.M.N.DE.W1.S121.S1.T.A.FA.R.FR2._Z.X1._X.N,BBFB1.M.N.DE.W1.S121.S1.T.A.FA.R.FR2._Z.X1._X.N_FLAGS
2010-03,-80.815,
2010-04,131.697,
2010-05,-23.312,
2010-06,52.611,
2010-07,-105.124,
2010-08,-23.281,
2010-09,-393.992,
2010-10,-108.737,
2010-11,114.833,
2010-12,215.964,
2011-01,-15.843,
2011-02,97.375,
2011-03,104.113,
2011-04,562.659,
2011-05,-28.975,
2011-06,-101.598,
2011-07,-125.228,
2011-08,-116.566,
2011-09,-3.340,
2011-10,-54.871,
2011-11,-253.703,
2011-12,-202.996,
2012-01,142.327,
2012-02,219.700,
2012-03,232.342,
2012-04,376.979,
2012-05,282.222,
2012-06,-171.167,
2012-07,-66.837,
2012-08,231.124,
2012-09,-325.967,
2012-10,173.316,
2012-11,5.340,
2012-12,-245.153,
2013-01,339.755,
2013-02,-67.830,
2013-03,-171.875,
2013-04,68.428,
2013-05,51.268,
2013-06,62.553,
2013-07,-580.367,
2013-08,734.608,
2013-09,-579.339,
2013-10,-3.185,
2013-11,455.001,
2013-12,1176.497,
2014-01,-374.769,
2014-02,-650.179,
2014-03,718.253,
2014-04,-246.504,
2014-05,-559.136,
2014-06,201.822,
2014-07,293.980,
2014-08,317.828,
2014-09,-502.226,
2014-10,359.842,
2014-11,95.754,
2014-12,-684.316,
