"",BBK01.OEAB24I,BBK01.OEAB24I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:47,
2002-01,22.824,
2002-04,26.799,
2002-07,24.708,
2002-10,23.742,
2003-01,22.870,
2003-04,13.589,
2003-07,12.347,
2003-10,11.380,
2004-01,11.253,
2004-04,11.341,
2004-07,11.451,
2004-10,11.159,
2005-01,12.454,
2005-04,12.440,
2005-07,13.002,
2005-10,14.794,
2006-01,11.969,
2006-04,12.328,
2006-07,19.545,
2006-10,20.077,
2007-01,18.964,
2007-04,18.895,
2007-07,18.470,
2007-10,18.091,
2008-01,17.353,
2008-04,16.834,
2008-07,16.461,
2008-10,16.140,
2009-01,15.687,
2009-04,15.747,
2009-07,22.155,
2009-10,22.066,
2010-01,21.958,
2010-04,21.989,
2010-07,22.483,
2010-10,22.505,
2011-01,21.954,
2011-04,21.510,
2011-07,20.612,
2011-10,20.390,
2012-01,20.304,
2012-04,19.507,
2012-07,19.332,
2012-10,19.122,
2013-01,18.211,
2013-04,18.686,
2013-07,18.277,
2013-10,17.431,
2014-01,17.397,
2014-04,17.288,
2014-07,17.423,
