"",BBK01.OEAA41O,BBK01.OEAA41O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:40,
2002-01,-2.350,
2002-04,-2.531,
2002-07,-2.270,
2002-10,-0.298,
2003-01,2.923,
2003-04,0.692,
2003-07,0.740,
2003-10,2.775,
2004-01,1.831,
2004-04,2.809,
2004-07,4.436,
2004-10,6.616,
2005-01,14.879,
2005-04,14.374,
2005-07,14.333,
2005-10,14.424,
2006-01,14.408,
2006-04,13.634,
2006-07,13.849,
2006-10,13.853,
2007-01,13.646,
2007-04,13.199,
2007-07,12.612,
2007-10,12.394,
2008-01,12.054,
2008-04,11.488,
2008-07,8.189,
2008-10,8.446,
2009-01,7.972,
2009-04,7.758,
2009-07,7.850,
2009-10,8.682,
2010-01,8.562,
2010-04,8.818,
2010-07,9.744,
2010-10,10.053,
2011-01,9.943,
2011-04,10.495,
2011-07,10.296,
2011-10,10.056,
2012-01,10.087,
2012-04,10.686,
2012-07,10.452,
2012-10,10.741,
2013-01,10.529,
2013-04,10.350,
2013-07,11.571,
2013-10,11.038,
2014-01,11.318,
2014-04,11.057,
2014-07,10.862,
