"",BBFB1.Q.N.DE.RU.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.RU.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Russian Federation,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:29,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,702.112,
1992-07,328.217,
1992-10,161.813,
1993-01,1142.910,
1993-04,1244.036,
1993-07,685.435,
1993-10,2229.174,
1994-01,203.262,
1994-04,1080.102,
1994-07,152.255,
1994-10,5.276,
1995-01,217.618,
1995-04,168.447,
1995-07,106.188,
1995-10,652.564,
1996-01,786.237,
1996-04,475.028,
1996-07,143.362,
1996-10,538.455,
1997-01,916.578,
1997-04,341.834,
1997-07,600.320,
1997-10,707.847,
1998-01,660.710,
1998-04,675.804,
1998-07,531.327,
1998-10,136.216,
1999-01,-190.123,
1999-04,230.939,
1999-07,-275.078,
1999-10,155.012,
2000-01,-464.207,
2000-04,-309.892,
2000-07,-428.346,
2000-10,-185.960,
2001-01,-841.146,
2001-04,-705.927,
2001-07,-593.911,
2001-10,434.937,
2002-01,-585.194,
2002-04,-84.255,
2002-07,-369.136,
2002-10,-159.557,
2003-01,906.928,
2003-04,-508.467,
2003-07,-373.592,
2003-10,-168.473,
2004-01,-328.445,
2004-04,230.007,
2004-07,757.631,
2004-10,12.121,
2005-01,-93.341,
2005-04,155.306,
2005-07,-4051.970,
2005-10,946.092,
2006-01,143.423,
2006-04,23.503,
2006-07,-7373.047,
2006-10,1533.711,
2007-01,-361.762,
2007-04,132.300,
2007-07,1085.991,
2007-10,506.353,
2008-01,447.292,
2008-04,694.674,
2008-07,1863.502,
2008-10,768.927,
2009-01,-620.867,
2009-04,-896.980,
2009-07,-425.963,
2009-10,-2253.302,
2010-01,-367.500,
2010-04,-704.360,
2010-07,282.399,
2010-10,-57.578,
2011-01,-715.762,
2011-04,-52.640,
2011-07,9.642,
2011-10,72.680,
2012-01,-160.023,
2012-04,9.746,
2012-07,115.170,
2012-10,700.237,
2013-01,-1640.529,
2013-04,-374.382,
2013-07,-502.214,
2013-10,-504.484,
2014-01,-329.020,Provisional value
2014-04,-191.606,Provisional value
2014-07,-178.968,Provisional value
2014-10,-366.990,Provisional value
