"",BBK01.OEAJ04J,BBK01.OEAJ04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:18,
2002-01,1.166,
2002-04,1.215,
2002-07,0.939,
2002-10,0.862,
2003-01,0.873,
2003-04,0.876,
2003-07,0.929,
2003-10,0.913,
2004-01,1.010,
2004-04,0.868,
2004-07,0.974,
2004-10,1.075,
2005-01,1.206,
2005-04,1.221,
2005-07,1.223,
2005-10,1.534,
2006-01,1.438,
2006-04,1.294,
2006-07,1.354,
2006-10,1.174,
2007-01,1.259,
2007-04,1.320,
2007-07,1.761,
2007-10,1.847,
2008-01,1.919,
2008-04,2.166,
2008-07,2.375,
2008-10,2.385,
2009-01,2.367,
2009-04,2.142,
2009-07,2.073,
2009-10,1.992,
2010-01,1.990,
2010-04,1.720,
2010-07,1.719,
2010-10,1.867,
2011-01,1.875,
2011-04,1.764,
2011-07,2.083,
2011-10,1.956,
2012-01,2.152,
2012-04,1.874,
2012-07,1.752,
2012-10,1.613,
2013-01,1.561,
2013-04,1.619,
2013-07,1.473,
2013-10,1.201,
2014-01,1.565,
2014-04,1.559,
2014-07,1.532,
