"",BBK01.OELB07Q,BBK01.OELB07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:57,
2002-01,1.032,
2002-04,1.029,
2002-07,1.036,
2002-10,1.020,
2003-01,0.987,
2003-04,0.970,
2003-07,0.948,
2003-10,0.894,
2004-01,0.865,
2004-04,0.859,
2004-07,0.855,
2004-10,0.826,
2005-01,0.786,
2005-04,0.767,
2005-07,0.807,
2005-10,0.780,
2006-01,0.751,
2006-04,0.741,
2006-07,0.743,
2006-10,0.731,
2007-01,0.732,
2007-04,0.736,
2007-07,0.719,
2007-10,0.687,
2008-01,0.672,
2008-04,0.647,
2008-07,0.606,
2008-10,0.600,
2009-01,0.622,
2009-04,0.626,
2009-07,0.668,
2009-10,0.670,
2010-01,0.670,
2010-04,0.667,
2010-07,0.671,
2010-10,0.660,
2011-01,0.673,
2011-04,0.675,
2011-07,0.698,
2011-10,0.696,
2012-01,0.704,
2012-04,0.751,
2012-07,0.767,
2012-10,0.779,
2013-01,0.801,
2013-04,0.798,
2013-07,0.810,
2013-10,0.826,
2014-01,0.838,
2014-04,0.827,
2014-07,0.827,
