"",BBK01.OELB20K,BBK01.OELB20K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:53,
2002-01,1.856,
2002-04,1.902,
2002-07,1.921,
2002-10,1.891,
2003-01,1.900,
2003-04,1.921,
2003-07,1.964,
2003-10,2.024,
2004-01,2.042,
2004-04,2.094,
2004-07,2.135,
2004-10,2.344,
2005-01,2.354,
2005-04,2.379,
2005-07,2.408,
2005-10,2.447,
2006-01,2.424,
2006-04,2.447,
2006-07,2.467,
2006-10,2.333,
2007-01,2.309,
2007-04,2.309,
2007-07,2.297,
2007-10,2.253,
2008-01,2.237,
2008-04,2.239,
2008-07,2.249,
2008-10,2.238,
2009-01,2.224,
2009-04,2.255,
2009-07,2.297,
2009-10,2.309,
2010-01,2.304,
2010-04,2.377,
2010-07,2.393,
2010-10,2.439,
2011-01,2.486,
2011-04,2.536,
2011-07,2.603,
2011-10,2.665,
2012-01,2.683,
2012-04,2.837,
2012-07,2.856,
2012-10,2.893,
2013-01,2.919,
2013-04,2.968,
2013-07,3.019,
2013-10,3.031,
2014-01,3.263,
2014-04,3.294,
2014-07,3.343,
