"",BBFN1.M.DE.N.1.L.ZA.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.ZA.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / South Africa,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:55,
1994-07,0.214,
1994-08,0.206,
1994-09,0.209,
1994-10,0.199,
1994-11,0.241,
1994-12,0.247,
1995-01,0.232,
1995-02,0.242,
1995-03,0.255,
1995-04,0.259,
1995-05,0.252,
1995-06,0.250,
1995-07,0.295,
1995-08,0.266,
1995-09,0.259,
1995-10,0.245,
1995-11,0.264,
1995-12,0.287,
1996-01,0.282,
1996-02,0.304,
1996-03,0.305,
1996-04,0.255,
1996-05,0.281,
1996-06,0.274,
1996-07,0.286,
1996-08,0.283,
1996-09,0.276,
1996-10,0.298,
1996-11,0.296,
1996-12,0.312,
1997-01,0.325,
1997-02,0.364,
1997-03,0.330,
1997-04,0.331,
1997-05,0.356,
1997-06,0.346,
1997-07,0.367,
1997-08,0.382,
1997-09,0.407,
1997-10,0.451,
1997-11,0.425,
1997-12,0.421,
1998-01,0.427,
1998-02,0.457,
1998-03,0.453,
1998-04,0.424,
1998-05,0.449,
1998-06,0.446,
1998-07,0.472,
1998-08,0.460,
1998-09,0.485,
1998-10,0.494,
1998-11,0.508,
1998-12,0.493,
1999-01,0.469,
1999-02,0.484,
1999-03,0.454,
1999-04,0.474,
1999-05,0.507,
1999-06,0.350,
1999-07,0.312,
1999-08,0.347,
1999-09,0.271,
1999-10,0.291,
1999-11,0.254,
1999-12,0.278,
2000-01,0.258,
2000-02,0.282,
2000-03,0.354,
2000-04,0.283,
2000-05,0.315,
2000-06,0.328,
2000-07,0.355,
2000-08,0.386,
2000-09,0.383,
2000-10,0.342,
2000-11,0.349,
2000-12,0.342,
2001-01,0.327,
2001-02,0.343,
2001-03,0.340,
2001-04,0.322,
2001-05,0.297,
2001-06,0.406,
2001-07,0.369,
2001-08,0.343,
2001-09,0.366,
2001-10,0.376,
2001-11,0.361,
2001-12,0.351,
2002-01,0.284,
2002-02,0.292,
2002-03,0.293,
2002-04,0.306,
2002-05,0.341,
2002-06,0.353,
2002-07,0.378,
2002-08,0.399,
2002-09,0.389,
2002-10,0.434,
2002-11,0.428,
2002-12,0.409,
2003-01,0.450,
2003-02,0.430,
2003-03,0.374,
2003-04,0.361,
2003-05,0.404,
2003-06,0.401,
2003-07,0.482,
2003-08,0.511,
2003-09,0.466,
2003-10,0.473,
2003-11,0.488,
2003-12,0.439,
2004-01,0.429,
2004-02,0.465,
2004-03,0.460,
2004-04,0.505,
2004-05,0.538,
2004-06,0.519,
2004-07,0.592,
2004-08,0.626,
2004-09,0.627,
2004-10,0.648,
2004-11,0.681,
2004-12,0.622,
2005-01,0.696,
2005-02,0.726,
2005-03,0.630,
2005-04,0.653,
2005-05,0.659,
2005-06,0.556,
2005-07,0.615,
2005-08,0.678,
2005-09,0.559,
2005-10,0.602,
2005-11,0.560,
2005-12,0.529,
2006-01,0.561,
2006-02,0.636,
2006-03,0.642,
2006-04,0.631,
2006-05,0.703,
2006-06,0.752,
2006-07,0.787,
2006-08,0.835,
2006-09,0.790,
2006-10,0.858,
2006-11,0.894,
2006-12,0.965,
2007-01,0.938,
2007-02,0.943,
2007-03,1.008,
2007-04,1.048,
2007-05,1.044,
2007-06,0.883,
2007-07,0.893,
2007-08,0.950,
2007-09,0.868,
2007-10,0.891,
2007-11,0.997,
2007-12,0.935,
2008-01,1.053,
2008-02,1.094,
2008-03,1.003,
2008-04,1.034,
2008-05,1.059,
2008-06,1.084,
2008-07,1.133,
2008-08,1.152,
2008-09,1.193,
2008-10,1.214,
2008-11,0.924,
2008-12,0.886,
2009-01,0.945,
2009-02,0.858,
2009-03,0.876,
2009-04,0.909,
2009-05,0.954,
2009-06,0.966,
2009-07,0.989,
2009-08,1.006,
2009-09,1.089,
2009-10,1.140,
2009-11,1.119,
2009-12,1.008,
2010-01,1.066,
2010-02,1.085,
2010-03,1.170,
2010-04,1.178,
2010-05,1.277,
2010-06,1.318,
2010-07,1.388,
2010-08,1.378,
2010-09,1.391,
2010-10,1.469,
2010-11,1.486,
2010-12,1.446,
2011-01,1.432,
2011-02,1.528,
2011-03,1.533,
2011-04,1.492,
2011-05,1.586,
2011-06,1.628,
2011-07,1.646,
2011-08,1.647,
2011-09,1.666,
2011-10,1.644,
2011-11,1.703,
2011-12,1.647,
2012-01,1.738,
2012-02,1.806,
2012-03,1.814,
2012-04,1.841,
2012-05,1.896,
2012-06,1.880,
2012-07,1.883,
2012-08,1.945,
2012-09,1.972,
2012-10,1.898,
2012-11,2.006,
2012-12,1.995,
2013-01,2.080,
2013-02,2.034,
2013-03,2.033,
2013-04,2.091,
2013-05,2.143,
2013-06,2.146,
2013-07,2.095,
2013-08,2.041,
2013-09,2.169,
2013-10,2.233,
2013-11,2.303,
2013-12,2.216,
2014-01,2.311,
2014-02,2.305,
2014-03,2.335,
2014-04,2.278,
2014-05,2.330,
2014-06,2.309,
2014-07,2.340,
2014-08,2.383,
2014-09,2.326,
2014-10,2.371,
2014-11,2.472,
2014-12,2.327,
