"",BBFB1.Q.N.DE.S1.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S1.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Asia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:29,
1991-01,-640.129,
1991-04,-428.498,
1991-07,-404.135,
1991-10,-520.873,
1992-01,-747.706,
1992-04,-609.788,
1992-07,-996.636,
1992-10,-832.900,
1993-01,-838.950,
1993-04,-604.141,
1993-07,-827.630,
1993-10,-849.449,
1994-01,-1085.168,
1994-04,-798.796,
1994-07,-1109.076,
1994-10,-1111.740,
1995-01,-1030.211,
1995-04,-773.855,
1995-07,-967.256,
1995-10,-927.633,
1996-01,-1148.785,
1996-04,-915.313,
1996-07,-1018.905,
1996-10,-975.634,
1997-01,-1143.867,
1997-04,-900.412,
1997-07,-608.925,
1997-10,-951.552,
1998-01,-993.178,
1998-04,-672.935,
1998-07,-644.830,
1998-10,-927.006,
1999-01,-1053.513,
1999-04,-715.024,
1999-07,-730.999,
1999-10,-1008.699,
2000-01,-1333.381,
2000-04,-1095.466,
2000-07,-956.215,
2000-10,-1149.696,
2001-01,-1594.256,
2001-04,-975.917,
2001-07,-898.303,
2001-10,-855.880,
2002-01,-1093.958,
2002-04,-640.521,
2002-07,-576.062,
2002-10,-687.477,
2003-01,-1018.803,
2003-04,-440.463,
2003-07,-511.403,
2003-10,-701.426,
2004-01,-1313.745,
2004-04,-475.024,
2004-07,-526.255,
2004-10,-748.244,
2005-01,-1154.715,
2005-04,-861.944,
2005-07,-625.277,
2005-10,-873.209,
2006-01,-1298.495,
2006-04,-543.676,
2006-07,-546.211,
2006-10,-817.975,
2007-01,-1024.475,
2007-04,-627.679,
2007-07,-1033.372,
2007-10,-1348.095,
2008-01,-1024.106,
2008-04,-775.310,
2008-07,-607.640,
2008-10,-387.613,
2009-01,7.204,
2009-04,588.428,
2009-07,288.836,
2009-10,173.458,
2010-01,-601.540,
2010-04,-169.726,
2010-07,-60.996,
2010-10,-118.622,
2011-01,-1143.537,
2011-04,-286.330,
2011-07,-73.509,
2011-10,-572.471,
2012-01,-1272.775,
2012-04,-681.686,
2012-07,-466.703,
2012-10,-635.911,
2013-01,-2139.636,
2013-04,-967.127,
2013-07,-828.138,
2013-10,-874.411,
2014-01,-1096.164,Provisional value
2014-04,-198.507,Provisional value
2014-07,-771.656,Provisional value
