"",BBK01.OEAH75U,BBK01.OEAH75U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:37,
2002-01,0.004,
2002-04,0.005,
2002-07,0.002,
2002-10,0.003,
2003-01,0.025,
2003-04,0.028,
2003-07,0.034,
2003-10,0.036,
2004-01,0.016,
2004-04,0.019,
2004-07,0.020,
2004-10,0.019,
2005-01,0.020,
2005-04,0.018,
2005-07,0.013,
2005-10,0.012,
2006-01,0.013,
2006-04,0.017,
2006-07,0.018,
2006-10,0.021,
2007-01,0.021,
2007-04,0.026,
2007-07,0.029,
2007-10,0.040,
2008-01,0.039,
2008-04,0.039,
2008-07,0.042,
2008-10,0.026,
2009-01,0.025,
2009-04,0.031,
2009-07,0.038,
2009-10,0.033,
2010-01,0.047,
2010-04,0.039,
2010-07,0.040,
2010-10,0.046,
2011-01,0.038,
2011-04,0.050,
2011-07,0.053,
2011-10,0.067,
2012-01,0.094,
2012-04,0.105,
2012-07,0.109,
2012-10,0.098,
2013-01,0.105,
2013-04,0.107,
2013-07,0.119,
2013-10,0.158,
2014-01,0.129,
2014-04,0.136,
2014-07,0.144,
