"",BBDE1.M.DE.Y.AEA1.N2C270000.F.C.I10.A,BBDE1.M.DE.Y.AEA1.N2C270000.F.C.I10.A_FLAGS
"",Orders received / At constant prices / Germany / 27 Manufacture of electrical equipment / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:06,
1991-01,78.3,
1991-02,79.0,
1991-03,75.5,
1991-04,81.5,
1991-05,74.7,
1991-06,77.6,
1991-07,73.3,
1991-08,76.2,
1991-09,74.6,
1991-10,76.5,
1991-11,79.2,
1991-12,79.5,
1992-01,81.8,
1992-02,77.9,
1992-03,85.0,
1992-04,76.8,
1992-05,78.7,
1992-06,75.2,
1992-07,73.7,
1992-08,71.9,
1992-09,71.8,
1992-10,71.6,
1992-11,74.6,
1992-12,70.2,
1993-01,77.7,
1993-02,73.2,
1993-03,69.0,
1993-04,70.2,
1993-05,69.9,
1993-06,67.1,
1993-07,74.1,
1993-08,70.2,
1993-09,70.8,
1993-10,69.3,
1993-11,68.7,
1993-12,73.7,
1994-01,79.6,
1994-02,78.2,
1994-03,77.7,
1994-04,74.8,
1994-05,74.7,
1994-06,77.3,
1994-07,77.4,
1994-08,79.0,
1994-09,89.6,
1994-10,82.6,
1994-11,81.2,
1994-12,98.3,
1995-01,81.4,
1995-02,82.5,
1995-03,80.7,
1995-04,83.2,
1995-05,78.3,
1995-06,78.1,
1995-07,78.1,
1995-08,74.6,
1995-09,84.6,
1995-10,68.9,
1995-11,70.5,
1995-12,83.4,
1996-01,78.5,
1996-02,75.4,
1996-03,81.0,
1996-04,72.9,
1996-05,75.3,
1996-06,79.0,
1996-07,76.8,
1996-08,77.5,
1996-09,81.4,
1996-10,76.2,
1996-11,76.0,
1996-12,82.3,
1997-01,78.4,
1997-02,79.0,
1997-03,82.9,
1997-04,83.1,
1997-05,79.7,
1997-06,85.1,
1997-07,82.3,
1997-08,84.0,
1997-09,87.7,
1997-10,81.7,
1997-11,88.3,
1997-12,83.8,
1998-01,85.3,
1998-02,85.0,
1998-03,85.3,
1998-04,87.6,
1998-05,85.0,
1998-06,82.0,
1998-07,84.2,
1998-08,82.3,
1998-09,86.1,
1998-10,81.6,
1998-11,81.9,
1998-12,80.6,
1999-01,81.0,
1999-02,83.7,
1999-03,86.0,
1999-04,82.5,
1999-05,88.4,
1999-06,84.5,
1999-07,90.0,
1999-08,95.3,
1999-09,88.3,
1999-10,89.9,
1999-11,87.5,
1999-12,89.9,
2000-01,87.1,
2000-02,89.3,
2000-03,98.0,
2000-04,91.5,
2000-05,94.6,
2000-06,96.1,
2000-07,97.8,
2000-08,104.4,
2000-09,102.0,
2000-10,95.7,
2000-11,97.1,
2000-12,100.8,
2001-01,96.7,
2001-02,99.8,
2001-03,102.1,
2001-04,91.1,
2001-05,107.3,
2001-06,102.1,
2001-07,93.2,
2001-08,94.6,
2001-09,90.0,
2001-10,88.3,
2001-11,85.6,
2001-12,101.8,
2002-01,91.9,
2002-02,89.3,
2002-03,90.3,
2002-04,88.2,
2002-05,87.0,
2002-06,90.3,
2002-07,86.3,
2002-08,89.7,
2002-09,91.6,
2002-10,90.4,
2002-11,95.9,
2002-12,92.7,
2003-01,93.6,
2003-02,88.4,
2003-03,90.2,
2003-04,90.2,
2003-05,88.9,
2003-06,92.7,
2003-07,91.9,
2003-08,88.2,
2003-09,95.4,
2003-10,92.5,
2003-11,92.9,
2003-12,91.8,
2004-01,92.3,
2004-02,97.5,
2004-03,94.4,
2004-04,94.3,
2004-05,98.2,
2004-06,93.2,
2004-07,97.7,
2004-08,90.7,
2004-09,91.8,
2004-10,93.4,
2004-11,93.4,
2004-12,92.4,
2005-01,92.4,
2005-02,95.7,
2005-03,93.2,
2005-04,95.2,
2005-05,94.8,
2005-06,98.1,
2005-07,99.6,
2005-08,100.1,
2005-09,101.7,
2005-10,101.0,
2005-11,101.6,
2005-12,103.1,
2006-01,103.5,
2006-02,104.4,
2006-03,101.7,
2006-04,108.3,
2006-05,107.8,
2006-06,106.1,
2006-07,107.1,
2006-08,109.3,
2006-09,107.5,
2006-10,115.4,
2006-11,110.6,
2006-12,111.4,
2007-01,113.7,
2007-02,111.4,
2007-03,123.7,
2007-04,109.5,
2007-05,116.8,
2007-06,117.4,
2007-07,113.3,
2007-08,116.4,
2007-09,116.4,
2007-10,112.4,
2007-11,125.0,
2007-12,127.2,
2008-01,121.8,
2008-02,119.8,
2008-03,120.0,
2008-04,122.4,
2008-05,121.9,
2008-06,115.6,
2008-07,113.9,
2008-08,116.3,
2008-09,111.7,
2008-10,108.2,
2008-11,106.9,
2008-12,99.5,
2009-01,83.1,
2009-02,78.1,
2009-03,82.7,
2009-04,75.8,
2009-05,76.5,
2009-06,79.8,
2009-07,80.0,
2009-08,83.1,
2009-09,89.8,
2009-10,89.5,
2009-11,91.4,
2009-12,87.2,
2010-01,92.2,
2010-02,94.3,
2010-03,94.7,
2010-04,96.4,
2010-05,99.2,
2010-06,102.5,
2010-07,105.5,
2010-08,101.0,
2010-09,97.9,
2010-10,103.2,
2010-11,103.0,
2010-12,105.1,
2011-01,110.7,
2011-02,107.1,
2011-03,109.8,
2011-04,108.6,
2011-05,124.6,
2011-06,109.5,
2011-07,119.0,
2011-08,111.5,
2011-09,109.6,
2011-10,103.4,
2011-11,105.5,
2011-12,111.6,
2012-01,107.1,
2012-02,104.3,
2012-03,100.8,
2012-04,103.7,
2012-05,106.1,
2012-06,98.7,
2012-07,101.0,
2012-08,104.7,
2012-09,101.5,
2012-10,102.3,
2012-11,99.3,
2012-12,99.8,
2013-01,99.7,
2013-02,100.9,
2013-03,113.2,
2013-04,102.1,
2013-05,100.5,
2013-06,103.6,
2013-07,102.1,
2013-08,100.3,
2013-09,103.2,
2013-10,113.8,
2013-11,109.6,
2013-12,100.9,
2014-01,102.9,
2014-02,105.4,
2014-03,100.1,
2014-04,102.3,
2014-05,108.6,
2014-06,101.3,
2014-07,102.4,
2014-08,100.9,
2014-09,98.7,
2014-10,107.0,
2014-11,105.7,
2014-12,104.5,Provisional value
