"",BBK01.OEAC34L,BBK01.OEAC34L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:15,
2002-01,0.613,
2002-04,0.672,
2002-07,0.631,
2002-10,0.703,
2003-01,0.729,
2003-04,0.682,
2003-07,0.769,
2003-10,0.789,
2004-01,0.736,
2004-04,0.734,
2004-07,0.675,
2004-10,0.622,
2005-01,0.605,
2005-04,0.608,
2005-07,0.628,
2005-10,0.655,
2006-01,0.653,
2006-04,0.682,
2006-07,0.631,
2006-10,0.558,
2007-01,0.553,
2007-04,0.623,
2007-07,0.683,
2007-10,0.734,
2008-01,0.693,
2008-04,0.680,
2008-07,0.687,
2008-10,0.901,
2009-01,1.021,
2009-04,1.091,
2009-07,1.104,
2009-10,1.249,
2010-01,1.214,
2010-04,1.349,
2010-07,1.426,
2010-10,1.355,
2011-01,1.252,
2011-04,1.198,
2011-07,1.186,
2011-10,1.132,
2012-01,1.178,
2012-04,1.230,
2012-07,1.221,
2012-10,1.175,
2013-01,1.144,
2013-04,1.083,
2013-07,1.078,
2013-10,1.023,
2014-01,0.991,
2014-04,0.881,
2014-07,0.967,
