"",BBFB1.Q.N.DE.CH.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:34,
1991-01,719.531,
1991-04,894.740,
1991-07,355.034,
1991-10,-2011.489,
1992-01,436.058,
1992-04,331.478,
1992-07,-882.432,
1992-10,1447.689,
1993-01,-213.778,
1993-04,1187.951,
1993-07,-430.489,
1993-10,2130.543,
1994-01,365.992,
1994-04,-898.366,
1994-07,221.033,
1994-10,929.345,
1995-01,400.877,
1995-04,20.407,
1995-07,990.464,
1995-10,-55.426,
1996-01,1684.513,
1996-04,938.772,
1996-07,956.445,
1996-10,1262.940,
1997-01,5573.134,
1997-04,508.163,
1997-07,4975.445,
1997-10,2742.324,
1998-01,3303.846,
1998-04,5362.543,
1998-07,802.828,
1998-10,4488.393,
1999-01,4970.053,
1999-04,-4473.567,
1999-07,1107.158,
1999-10,7571.592,
2000-01,2032.256,
2000-04,-3291.072,
2000-07,4832.691,
2000-10,2463.956,
2001-01,-6167.283,
2001-04,1708.052,
2001-07,297.914,
2001-10,2287.871,
2002-01,-5304.852,
2002-04,3736.120,
2002-07,-1297.104,
2002-10,-2261.171,
2003-01,4325.945,
2003-04,2500.342,
2003-07,467.483,
2003-10,5888.803,
2004-01,-14076.650,
2004-04,10057.402,
2004-07,-465.396,
2004-10,634.159,
2005-01,2957.027,
2005-04,-2399.302,
2005-07,6989.372,
2005-10,-3571.677,
2006-01,2270.234,
2006-04,7803.401,
2006-07,6964.505,
2006-10,16953.708,
2007-01,19204.199,
2007-04,3796.555,
2007-07,-7173.078,
2007-10,-27069.074,
2008-01,3158.171,
2008-04,8945.766,
2008-07,4661.413,
2008-10,-7151.089,
2009-01,-6462.006,
2009-04,-3749.251,
2009-07,-2888.754,
2009-10,-502.222,
2010-01,2885.882,
2010-04,1871.383,
2010-07,1747.691,
2010-10,1585.524,
2011-01,1471.349,
2011-04,821.922,
2011-07,5532.629,
2011-10,-7036.641,
2012-01,1362.714,
2012-04,3835.626,
2012-07,3280.527,
2012-10,-874.929,
2013-01,2308.142,
2013-04,1320.003,
2013-07,6661.828,
2013-10,-1357.508,
2014-01,7493.074,Provisional value
2014-04,9051.201,Provisional value
2014-07,-155.595,Provisional value
2014-10,-5936.815,Provisional value
