"",BBK01.OEXB05K,BBK01.OEXB05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:28,
2002-01,15.350,
2002-04,15.435,
2002-07,14.853,
2002-10,15.170,
2003-01,15.019,
2003-04,15.753,
2003-07,17.473,
2003-10,17.297,
2004-01,17.237,
2004-04,16.637,
2004-07,16.991,
2004-10,11.699,
2005-01,11.037,
2005-04,10.853,
2005-07,11.544,
2005-10,11.567,
2006-01,12.661,
2006-04,13.308,
2006-07,13.782,
2006-10,13.908,
2007-01,13.904,
2007-04,13.983,
2007-07,14.155,
2007-10,14.461,
2008-01,14.384,
2008-04,14.743,
2008-07,15.120,
2008-10,16.127,
2009-01,17.213,
2009-04,17.232,
2009-07,17.344,
2009-10,17.299,
2010-01,17.321,
2010-04,17.689,
2010-07,15.491,
2010-10,16.324,
2011-01,15.800,
2011-04,15.465,
2011-07,15.808,
2011-10,15.572,
2012-01,15.706,
2012-04,16.007,
2012-07,15.832,
2012-10,15.931,
2013-01,16.223,
2013-04,16.332,
2013-07,16.522,
2013-10,16.545,
2014-01,16.572,
2014-04,16.950,
2014-07,17.391,
