"",BBK01.OECB06J,BBK01.OECB06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:09,
2002-01,0.713,
2002-04,0.838,
2002-07,0.799,
2002-10,0.756,
2003-01,0.765,
2003-04,0.785,
2003-07,0.757,
2003-10,0.510,
2004-01,0.524,
2004-04,0.576,
2004-07,0.508,
2004-10,0.441,
2005-01,0.430,
2005-04,0.429,
2005-07,0.473,
2005-10,0.392,
2006-01,0.434,
2006-04,0.463,
2006-07,0.476,
2006-10,0.473,
2007-01,0.592,
2007-04,0.627,
2007-07,0.653,
2007-10,0.519,
2008-01,0.518,
2008-04,0.552,
2008-07,0.547,
2008-10,0.515,
2009-01,0.512,
2009-04,0.526,
2009-07,0.502,
2009-10,0.399,
2010-01,0.427,
2010-04,0.490,
2010-07,0.443,
2010-10,0.419,
2011-01,0.519,
2011-04,0.590,
2011-07,0.555,
2011-10,0.530,
2012-01,0.549,
2012-04,0.645,
2012-07,0.802,
2012-10,0.522,
2013-01,0.742,
2013-04,0.463,
2013-07,0.476,
2013-10,0.480,
2014-01,0.528,
2014-04,0.504,
2014-07,0.462,
