"",BBK01.OXA7B7,BBK01.OXA7B7_FLAGS
"",Other short-term loans to employees and other individuals - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:07,
2010-06,6.364,
2010-07,6.217,
2010-08,6.082,
2010-09,6.091,
2010-10,6.035,
2010-11,6.077,
2010-12,6.243,
2011-01,6.624,
2011-02,6.512,
2011-03,6.713,
2011-04,6.416,
2011-05,6.335,
2011-06,6.792,
2011-07,6.633,
2011-08,6.503,
2011-09,6.670,
2011-10,6.601,
2011-11,6.602,
2011-12,6.691,
2012-01,6.451,
2012-02,6.511,
2012-03,6.406,
2012-04,6.289,
2012-05,6.286,
2012-06,6.373,
2012-07,6.652,
2012-08,6.453,
2012-09,6.467,
2012-10,6.418,
2012-11,6.793,
2012-12,6.422,
2013-01,6.247,
2013-02,6.274,
2013-03,6.321,
2013-04,6.233,
2013-05,5.805,
2013-06,6.031,
2013-07,5.969,
2013-08,5.898,
2013-09,5.945,
2013-10,5.948,
2013-11,5.572,
2013-12,5.430,
2014-01,5.328,
2014-02,5.369,
2014-03,5.336,
2014-04,5.407,
2014-05,5.386,
2014-06,5.640,
2014-07,5.420,
2014-08,5.507,
2014-09,5.572,
2014-10,5.721,
2014-11,5.631,
2014-12,5.971,Provisional value
