"",BBNZ1.Q.DE.Y.H.0063.A,BBNZ1.Q.DE.Y.H.0063.A_FLAGS
"",Germany / National accounts / Origin of GDP / Financial and insurance activities / Chain-linked index / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:37:42,
1991-01,121.55,
1991-04,120.79,
1991-07,120.83,
1991-10,123.23,
1992-01,124.06,
1992-04,123.47,
1992-07,126.29,
1992-10,125.47,
1993-01,129.16,
1993-04,132.23,
1993-07,132.95,
1993-10,133.23,
1994-01,132.50,
1994-04,132.35,
1994-07,132.43,
1994-10,129.67,
1995-01,126.71,
1995-04,127.35,
1995-07,128.13,
1995-10,129.56,
1996-01,129.76,
1996-04,129.72,
1996-07,129.41,
1996-10,131.21,
1997-01,131.28,
1997-04,131.07,
1997-07,131.30,
1997-10,132.65,
1998-01,132.15,
1998-04,131.35,
1998-07,133.84,
1998-10,138.28,
1999-01,143.26,
1999-04,147.06,
1999-07,148.10,
1999-10,142.35,
2000-01,138.32,
2000-04,132.25,
2000-07,130.88,
2000-10,134.32,
2001-01,140.43,
2001-04,145.46,
2001-07,145.39,
2001-10,140.03,
2002-01,138.82,
2002-04,138.11,
2002-07,132.89,
2002-10,126.51,
2003-01,118.92,
2003-04,112.49,
2003-07,108.61,
2003-10,107.94,
2004-01,105.31,
2004-04,102.65,
2004-07,101.52,
2004-10,102.55,
2005-01,102.96,
2005-04,101.66,
2005-07,101.35,
2005-10,100.40,
2006-01,96.91,
2006-04,99.99,
2006-07,111.70,
2006-10,100.84,
2007-01,104.09,
2007-04,105.31,
2007-07,105.45,
2007-10,104.79,
2008-01,104.45,
2008-04,104.59,
2008-07,104.35,
2008-10,103.21,
2009-01,100.34,
2009-04,97.19,
2009-07,95.61,
2009-10,96.87,
2010-01,98.29,
2010-04,100.59,
2010-07,100.30,
2010-10,100.46,
2011-01,100.26,
2011-04,100.72,
2011-07,101.17,
2011-10,100.74,
2012-01,100.61,
2012-04,103.17,
2012-07,104.35,
2012-10,103.24,
2013-01,102.32,
2013-04,100.17,
2013-07,101.64,
2013-10,101.19,
2014-01,102.31,
2014-04,99.95,
2014-07,100.21,
2014-10,100.57,
