"",BBK01.OEAM05L,BBK01.OEAM05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:37,
2002-01,1.676,
2002-04,1.631,
2002-07,1.427,
2002-10,1.099,
2003-01,1.084,
2003-04,1.799,
2003-07,0.994,
2003-10,1.239,
2004-01,1.273,
2004-04,1.192,
2004-07,1.535,
2004-10,1.852,
2005-01,1.917,
2005-04,2.057,
2005-07,2.163,
2005-10,2.408,
2006-01,2.808,
2006-04,3.013,
2006-07,3.101,
2006-10,3.204,
2007-01,3.190,
2007-04,3.271,
2007-07,3.481,
2007-10,4.137,
2008-01,4.776,
2008-04,4.884,
2008-07,4.921,
2008-10,5.018,
2009-01,5.316,
2009-04,5.268,
2009-07,5.083,
2009-10,5.203,
2010-01,5.307,
2010-04,5.215,
2010-07,5.561,
2010-10,5.702,
2011-01,5.795,
2011-04,5.893,
2011-07,5.824,
2011-10,5.660,
2012-01,5.697,
2012-04,5.958,
2012-07,5.924,
2012-10,6.003,
2013-01,5.952,
2013-04,5.869,
2013-07,6.166,
2013-10,5.944,
2014-01,5.924,
2014-04,5.774,
2014-07,5.853,
