"",BBFN1.M.DE.N.1.A.SK.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SK.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Slovak Republic,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:30,
1995-01,0.196,
1995-02,0.211,
1995-03,0.224,
1995-04,0.225,
1995-05,0.238,
1995-06,0.278,
1995-07,0.256,
1995-08,0.270,
1995-09,0.288,
1995-10,0.273,
1995-11,0.331,
1995-12,0.286,
1996-01,0.316,
1996-02,0.292,
1996-03,0.292,
1996-04,0.334,
1996-05,0.329,
1996-06,0.332,
1996-07,0.313,
1996-08,0.312,
1996-09,0.334,
1996-10,0.358,
1996-11,0.391,
1996-12,0.397,
1997-01,0.395,
1997-02,0.410,
1997-03,0.402,
1997-04,0.414,
1997-05,0.427,
1997-06,0.448,
1997-07,0.429,
1997-08,0.444,
1997-09,0.421,
1997-10,0.460,
1997-11,0.489,
1997-12,0.433,
1998-01,0.409,
1998-02,0.465,
1998-03,0.515,
1998-04,0.513,
1998-05,0.548,
1998-06,0.609,
1998-07,0.590,
1998-08,0.608,
1998-09,0.526,
1998-10,0.528,
1998-11,0.646,
1998-12,0.616,
1999-01,0.605,
1999-02,0.602,
1999-03,0.654,
1999-04,0.663,
1999-05,0.633,
1999-06,0.666,
1999-07,0.613,
1999-08,0.647,
1999-09,0.639,
1999-10,0.665,
1999-11,0.676,
1999-12,0.616,
2000-01,0.558,
2000-02,0.678,
2000-03,0.627,
2000-04,0.617,
2000-05,0.627,
2000-06,0.727,
2000-07,0.775,
2000-08,0.711,
2000-09,0.702,
2000-10,0.747,
2000-11,0.740,
2000-12,0.693,
2001-01,0.711,
2001-02,0.764,
2001-03,0.891,
2001-04,0.866,
2001-05,0.878,
2001-06,0.901,
2001-07,0.905,
2001-08,0.868,
2001-09,0.816,
2001-10,0.826,
2001-11,0.802,
2001-12,0.759,
2002-01,0.734,
2002-02,0.771,
2002-03,0.771,
2002-04,0.787,
2002-05,0.824,
2002-06,0.861,
2002-07,0.871,
2002-08,0.822,
2002-09,0.836,
2002-10,0.870,
2002-11,0.886,
2002-12,0.916,
2003-01,0.796,
2003-02,0.845,
2003-03,0.885,
2003-04,0.906,
2003-05,0.921,
2003-06,0.921,
2003-07,0.963,
2003-08,0.961,
2003-09,1.000,
2003-10,1.078,
2003-11,1.092,
2003-12,0.952,
2004-01,0.897,
2004-02,0.876,
2004-03,0.944,
2004-04,0.997,
2004-05,1.021,
2004-06,0.979,
2004-07,0.911,
2004-08,0.903,
2004-09,0.888,
2004-10,0.924,
2004-11,0.922,
2004-12,0.857,
2005-01,0.919,
2005-02,0.931,
2005-03,0.945,
2005-04,0.983,
2005-05,0.977,
2005-06,1.025,
2005-07,1.028,
2005-08,1.015,
2005-09,1.069,
2005-10,1.050,
2005-11,1.098,
2005-12,1.050,
2006-01,1.035,
2006-02,1.060,
2006-03,1.154,
2006-04,1.150,
2006-05,1.222,
2006-06,1.225,
2006-07,1.253,
2006-08,1.224,
2006-09,1.329,
2006-10,1.370,
2006-11,1.382,
2006-12,1.287,
2007-01,1.297,
2007-02,1.363,
2007-03,1.433,
2007-04,1.490,
2007-05,1.545,
2007-06,1.537,
2007-07,1.526,
2007-08,1.581,
2007-09,1.589,
2007-10,1.640,
2007-11,1.675,
2007-12,1.567,
2008-01,1.612,
2008-02,1.737,
2008-03,1.712,
2008-04,1.728,
2008-05,1.762,
2008-06,1.937,
2008-07,2.029,
2008-08,1.958,
2008-09,2.137,
2008-10,2.101,
2008-11,2.096,
2008-12,1.897,
2009-01,1.859,
2009-02,1.893,
2009-03,1.894,
2009-04,1.813,
2009-05,1.858,
2009-06,1.910,
2009-07,1.963,
2009-08,2.079,
2009-09,2.060,
2009-10,2.150,
2009-11,2.172,
2009-12,2.089,
2010-01,2.187,
2010-02,2.309,
2010-03,2.300,
2010-04,2.322,
2010-05,2.405,
2010-06,2.368,
2010-07,2.274,
2010-08,2.469,
2010-09,2.332,
2010-10,2.323,
2010-11,2.465,
2010-12,2.525,
2011-01,2.457,
2011-02,2.622,
2011-03,2.572,
2011-04,2.694,
2011-05,2.400,
2011-06,2.046,
2011-07,1.959,
2011-08,2.625,
2011-09,2.132,
2011-10,1.994,
2011-11,2.266,
2011-12,2.172,
2012-01,2.081,
2012-02,2.213,
2012-03,2.247,
2012-04,2.224,
2012-05,2.201,
2012-06,2.160,
2012-07,2.205,
2012-08,2.099,
2012-09,2.236,
2012-10,2.377,
2012-11,2.349,
2012-12,2.321,
2013-01,2.212,
2013-02,2.455,
2013-03,2.478,
2013-04,2.396,
2013-05,2.423,
2013-06,2.462,
2013-07,2.180,
2013-08,2.168,
2013-09,2.510,
2013-10,2.567,
2013-11,2.405,
2013-12,2.269,
2014-01,2.340,
2014-02,2.923,
2014-03,3.008,
2014-04,2.939,
2014-05,2.969,
2014-06,3.004,
2014-07,2.729,
2014-08,2.769,
2014-09,2.900,
2014-10,2.893,
2014-11,3.020,
2014-12,2.572,
