"",BBK01.OELB24H,BBK01.OELB24H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:28,
2002-01,0.402,
2002-04,0.388,
2002-07,0.372,
2002-10,0.364,
2003-01,0.352,
2003-04,0.361,
2003-07,0.389,
2003-10,0.398,
2004-01,0.378,
2004-04,0.374,
2004-07,0.378,
2004-10,0.354,
2005-01,0.385,
2005-04,0.391,
2005-07,0.400,
2005-10,0.417,
2006-01,0.421,
2006-04,0.431,
2006-07,0.418,
2006-10,0.418,
2007-01,0.419,
2007-04,0.426,
2007-07,0.433,
2007-10,0.441,
2008-01,0.441,
2008-04,0.439,
2008-07,0.445,
2008-10,0.446,
2009-01,0.450,
2009-04,0.473,
2009-07,0.510,
2009-10,0.570,
2010-01,0.585,
2010-04,0.586,
2010-07,0.619,
2010-10,0.684,
2011-01,0.697,
2011-04,0.719,
2011-07,0.781,
2011-10,0.803,
2012-01,0.848,
2012-04,0.855,
2012-07,0.901,
2012-10,0.947,
2013-01,0.927,
2013-04,0.936,
2013-07,0.987,
2013-10,1.026,
2014-01,1.034,
2014-04,1.041,
2014-07,1.049,
