"",BBK01.OEYB01V,BBK01.OEYB01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:43:00,
2002-01,24.376,
2002-04,24.385,
2002-07,24.398,
2002-10,25.303,
2003-01,24.070,
2003-04,23.832,
2003-07,23.546,
2003-10,23.621,
2004-01,23.691,
2004-04,23.719,
2004-07,23.825,
2004-10,23.457,
2005-01,23.187,
2005-04,23.470,
2005-07,23.744,
2005-10,24.707,
2006-01,24.551,
2006-04,24.348,
2006-07,24.382,
2006-10,24.221,
2007-01,23.616,
2007-04,22.770,
2007-07,29.454,
2007-10,25.959,
2008-01,24.274,
2008-04,10.148,
2008-07,10.294,
2008-10,10.261,
2009-01,8.873,
2009-04,8.727,
2009-07,8.759,
2009-10,12.012,
2010-01,11.917,
2010-04,11.866,
2010-07,11.450,
2010-10,11.322,
2011-01,11.202,
2011-04,11.061,
2011-07,12.796,
2011-10,12.542,
2012-01,12.275,
2012-04,12.580,
2012-07,12.227,
2012-10,11.229,
2013-01,10.915,
2013-04,10.691,
2013-07,10.968,
2013-10,10.403,
2014-01,10.488,
2014-04,10.055,
2014-07,9.927,
