"",BBFB1.Q.N.DE.PT.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.PT.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Portugal,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:36,
1991-01,363.501,
1991-04,581.509,
1991-07,364.926,
1991-10,198.976,
1992-01,-77.498,
1992-04,102.488,
1992-07,-695.515,
1992-10,-337.662,
1993-01,279.638,
1993-04,-267.616,
1993-07,695.751,
1993-10,59.493,
1994-01,-71.572,
1994-04,97.700,
1994-07,-42.176,
1994-10,257.851,
1995-01,-840.327,
1995-04,144.960,
1995-07,-83.015,
1995-10,476.406,
1996-01,619.365,
1996-04,150.582,
1996-07,-47.525,
1996-10,-278.213,
1997-01,406.402,
1997-04,77.592,
1997-07,-46.341,
1997-10,186.616,
1998-01,209.983,
1998-04,13.813,
1998-07,152.584,
1998-10,134.375,
1999-01,435.060,
1999-04,322.376,
1999-07,105.341,
1999-10,224.817,
2000-01,-31.086,
2000-04,894.863,
2000-07,440.072,
2000-10,-44.624,
2001-01,232.324,
2001-04,-107.516,
2001-07,-136.927,
2001-10,313.695,
2002-01,182.442,
2002-04,-78.560,
2002-07,242.854,
2002-10,-61.312,
2003-01,450.678,
2003-04,-200.563,
2003-07,333.297,
2003-10,-257.653,
2004-01,633.974,
2004-04,62.477,
2004-07,-555.373,
2004-10,-507.491,
2005-01,45.134,
2005-04,-264.187,
2005-07,307.530,
2005-10,753.523,
2006-01,501.282,
2006-04,183.510,
2006-07,373.948,
2006-10,1006.329,
2007-01,212.944,
2007-04,558.575,
2007-07,740.711,
2007-10,440.266,
2008-01,-53.479,
2008-04,363.920,
2008-07,117.618,
2008-10,26.554,
2009-01,75.249,
2009-04,644.761,
2009-07,40.275,
2009-10,67.288,
2010-01,14.961,
2010-04,384.586,
2010-07,-113.494,
2010-10,-292.519,
2011-01,-63.133,
2011-04,-9.160,
2011-07,-16.325,
2011-10,82.033,
2012-01,3.021,
2012-04,412.282,
2012-07,389.750,
2012-10,114.889,
2013-01,-107.408,
2013-04,-203.255,
2013-07,-196.007,
2013-10,-69.210,
2014-01,-289.458,Provisional value
2014-04,75.876,Provisional value
2014-07,63.778,Provisional value
2014-10,-139.655,Provisional value
