"",BBK01.OEBB11N,BBK01.OEBB11N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:40,
2002-01,6.652,
2002-04,6.939,
2002-07,6.533,
2002-10,6.898,
2003-01,6.595,
2003-04,6.610,
2003-07,6.362,
2003-10,6.345,
2004-01,6.250,
2004-04,6.563,
2004-07,6.814,
2004-10,5.798,
2005-01,6.067,
2005-04,6.230,
2005-07,6.955,
2005-10,7.205,
2006-01,7.509,
2006-04,8.065,
2006-07,8.497,
2006-10,8.794,
2007-01,8.951,
2007-04,9.667,
2007-07,9.853,
2007-10,9.658,
2008-01,12.058,
2008-04,12.689,
2008-07,11.607,
2008-10,12.114,
2009-01,9.961,
2009-04,9.860,
2009-07,9.923,
2009-10,10.214,
2010-01,10.491,
2010-04,10.349,
2010-07,10.354,
2010-10,10.894,
2011-01,10.883,
2011-04,10.488,
2011-07,10.922,
2011-10,10.877,
2012-01,10.604,
2012-04,10.487,
2012-07,10.399,
2012-10,11.131,
2013-01,11.713,
2013-04,12.125,
2013-07,11.270,
2013-10,11.150,
2014-01,12.620,
2014-04,13.116,
2014-07,13.083,
