"",BBEX3.M.CZK.EUR.BB.AC.A02,BBEX3.M.CZK.EUR.BB.AC.A02_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = CZK ... / Czech Republic,
unit,CZK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:00:24,
1999-01,35.741,
1999-02,37.800,
1999-03,37.993,
1999-04,37.982,
1999-05,37.685,
1999-06,37.094,
1999-07,36.503,
1999-08,36.413,
1999-09,36.313,
1999-10,36.620,
1999-11,36.372,
1999-12,36.048,
2000-01,36.005,
2000-02,35.685,
2000-03,35.627,
2000-04,36.323,
2000-05,36.549,
2000-06,35.974,
2000-07,35.608,
2000-08,35.356,
2000-09,35.440,
2000-10,35.236,
2000-11,34.609,
2000-12,34.834,
2001-01,35.128,
2001-02,34.640,
2001-03,34.590,
2001-04,34.555,
2001-05,34.375,
2001-06,33.954,
2001-07,33.868,
2001-08,34.050,
2001-09,34.157,
2001-10,33.549,
2001-11,33.291,
2001-12,32.532,
2002-01,32.066,
2002-02,31.789,
2002-03,31.419,
2002-04,30.336,
2002-05,30.552,
2002-06,30.300,
2002-07,29.727,
2002-08,30.796,
2002-09,30.190,
2002-10,30.660,
2002-11,30.752,
2002-12,31.194,
2003-01,31.489,
2003-02,31.641,
2003-03,31.751,
2003-04,31.618,
2003-05,31.387,
2003-06,31.412,
2003-07,31.880,
2003-08,32.287,
2003-09,32.355,
2003-10,31.989,
2003-11,31.974,
2003-12,32.329,
2004-01,32.724,
2004-02,32.857,
2004-03,32.985,
2004-04,32.519,
2004-05,31.976,
2004-06,31.614,
2004-07,31.545,
2004-08,31.634,
2004-09,31.601,
2004-10,31.491,
2004-11,31.286,
2004-12,30.636,
2005-01,30.304,
2005-02,29.957,
2005-03,29.771,
2005-04,30.134,
2005-05,30.220,
2005-06,30.034,
2005-07,30.180,
2005-08,29.594,
2005-09,29.317,
2005-10,29.675,
2005-11,29.266,
2005-12,28.972,
2006-01,28.722,
2006-02,28.407,
2006-03,28.650,
2006-04,28.501,
2006-05,28.271,
2006-06,28.386,
2006-07,28.448,
2006-08,28.194,
2006-09,28.383,
2006-10,28.290,
2006-11,28.029,
2006-12,27.778,
2007-01,27.840,
2007-02,28.233,
2007-03,28.057,
2007-04,28.015,
2007-05,28.231,
2007-06,28.546,
2007-07,28.359,
2007-08,27.860,
2007-09,27.573,
2007-10,27.335,
2007-11,26.733,
2007-12,26.317,
2008-01,26.050,
2008-02,25.377,
2008-03,25.208,
2008-04,25.064,
2008-05,25.100,
2008-06,24.316,
2008-07,23.528,
2008-08,24.287,
2008-09,24.497,
2008-10,24.768,
2008-11,25.193,
2008-12,26.120,
2009-01,27.169,
2009-02,28.461,
2009-03,27.231,
2009-04,26.774,
2009-05,26.731,
2009-06,26.545,
2009-07,25.793,
2009-08,25.646,
2009-09,25.346,
2009-10,25.861,
2009-11,25.812,
2009-12,26.089,
2010-01,26.133,
2010-02,25.979,
2010-03,25.541,
2010-04,25.308,
2010-05,25.663,
2010-06,25.780,
2010-07,25.328,
2010-08,24.806,
2010-09,24.651,
2010-10,24.531,
2010-11,24.633,
2010-12,25.174,
2011-01,24.449,
2011-02,24.277,
2011-03,24.393,
2011-04,24.301,
2011-05,24.381,
2011-06,24.286,
2011-07,24.335,
2011-08,24.273,
2011-09,24.556,
2011-10,24.841,
2011-11,25.464,
2011-12,25.514,
2012-01,25.531,
2012-02,25.042,
2012-03,24.676,
2012-04,24.809,
2012-05,25.313,
2012-06,25.640,
2012-07,25.447,
2012-08,25.021,
2012-09,24.752,
2012-10,24.939,
2012-11,25.365,
2012-12,25.214,
2013-01,25.563,
2013-02,25.475,
2013-03,25.659,
2013-04,25.841,
2013-05,25.888,
2013-06,25.759,
2013-07,25.944,
2013-08,25.818,
2013-09,25.789,
2013-10,25.662,
2013-11,26.927,
2013-12,27.521,
2014-01,27.485,
2014-02,27.444,
2014-03,27.395,
2014-04,27.450,
2014-05,27.437,
2014-06,27.450,
2014-07,27.458,
2014-08,27.816,
2014-09,27.599,
2014-10,27.588,
2014-11,27.667,
2014-12,27.640,
2015-01,27.895,
2015-02,27.608,
"","General: The ECB publishes daily euro foreign exchange reference rates, which are calculated on the basis of the concertation between central banks at 14.15.",
"",Source: European Central Bank (ECB).,
"",Methodology: Averages: Bundesbank calculations based on the daily euro reference exchange rates published by the ECB.,
