"",BBFB1.Q.N.DE.SE.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.SE.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Sweden,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:39,
1991-01,311.204,
1991-04,134.099,
1991-07,144.630,
1991-10,195.835,
1992-01,95.098,
1992-04,205.774,
1992-07,295.961,
1992-10,210.334,
1993-01,174.094,
1993-04,46.234,
1993-07,83.366,
1993-10,225.869,
1994-01,190.703,
1994-04,258.083,
1994-07,174.307,
1994-10,555.340,
1995-01,746.235,
1995-04,649.085,
1995-07,626.084,
1995-10,850.674,
1996-01,776.851,
1996-04,724.520,
1996-07,565.951,
1996-10,835.809,
1997-01,670.096,
1997-04,994.383,
1997-07,898.113,
1997-10,1044.992,
1998-01,879.157,
1998-04,922.819,
1998-07,717.461,
1998-10,910.749,
1999-01,861.879,
1999-04,861.669,
1999-07,929.736,
1999-10,1175.140,
2000-01,1152.633,
2000-04,951.407,
2000-07,1079.190,
2000-10,1002.233,
2001-01,1222.407,
2001-04,1041.945,
2001-07,925.112,
2001-10,1366.879,
2002-01,1280.940,
2002-04,1143.088,
2002-07,1117.878,
2002-10,1471.589,
2003-01,1306.988,
2003-04,1066.386,
2003-07,1220.364,
2003-10,1582.363,
2004-01,1429.106,
2004-04,1472.926,
2004-07,1327.509,
2004-10,1790.374,
2005-01,1710.319,
2005-04,1591.620,
2005-07,1617.898,
2005-10,906.386,
2006-01,1517.758,
2006-04,1537.591,
2006-07,1646.694,
2006-10,1195.192,
2007-01,1960.126,
2007-04,1745.817,
2007-07,2044.500,
2007-10,1561.522,
2008-01,2183.331,
2008-04,1709.854,
2008-07,1643.650,
2008-10,1346.223,
2009-01,1341.896,
2009-04,1479.330,
2009-07,1311.129,
2009-10,1668.376,
2010-01,1561.140,
2010-04,1866.183,
2010-07,1679.052,
2010-10,2146.040,
2011-01,2353.278,
2011-04,2345.620,
2011-07,2270.567,
2011-10,2133.123,
2012-01,2474.184,
2012-04,2256.221,
2012-07,1960.936,
2012-10,1969.116,
2013-01,2099.236,
2013-04,2068.761,
2013-07,2011.377,
2013-10,2085.742,
2014-01,2153.142,Provisional value
2014-04,2273.434,Provisional value
2014-07,2554.597,Provisional value
