"",BBK01.OEHL01V,BBK01.OEHL01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:32,
2002-01,28.148,
2002-04,27.896,
2002-07,28.049,
2002-10,28.716,
2003-01,28.740,
2003-04,28.416,
2003-07,28.216,
2003-10,28.532,
2004-01,28.425,
2004-04,28.198,
2004-07,27.981,
2004-10,28.304,
2005-01,28.133,
2005-04,27.855,
2005-07,27.633,
2005-10,27.985,
2006-01,27.866,
2006-04,27.587,
2006-07,27.295,
2006-10,27.546,
2007-01,27.335,
2007-04,27.241,
2007-07,27.157,
2007-10,27.585,
2008-01,27.326,
2008-04,27.161,
2008-07,26.974,
2008-10,27.819,
2009-01,27.916,
2009-04,27.891,
2009-07,27.758,
2009-10,28.208,
2010-01,28.437,
2010-04,28.541,
2010-07,28.587,
2010-10,29.068,
2011-01,29.087,
2011-04,28.950,
2011-07,28.865,
2011-10,29.205,
2012-01,29.278,
2012-04,29.338,
2012-07,29.468,
2012-10,29.870,
2013-01,30.098,
2013-04,30.218,
2013-07,30.178,
2013-10,30.522,
2014-01,30.697,
2014-04,30.756,
2014-07,30.888,
