"",BBK01.OEAH31Q,BBK01.OEAH31Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:08,
2002-01,13.227,
2002-04,13.358,
2002-07,12.160,
2002-10,12.732,
2003-01,13.403,
2003-04,13.038,
2003-07,13.774,
2003-10,13.442,
2004-01,14.049,
2004-04,13.881,
2004-07,14.161,
2004-10,25.714,
2005-01,24.353,
2005-04,24.566,
2005-07,24.584,
2005-10,24.595,
2006-01,24.268,
2006-04,23.920,
2006-07,17.099,
2006-10,19.368,
2007-01,19.907,
2007-04,20.593,
2007-07,21.865,
2007-10,24.641,
2008-01,25.620,
2008-04,29.465,
2008-07,30.137,
2008-10,28.034,
2009-01,32.408,
2009-04,31.415,
2009-07,31.669,
2009-10,30.066,
2010-01,30.068,
2010-04,34.491,
2010-07,34.451,
2010-10,32.511,
2011-01,25.627,
2011-04,25.189,
2011-07,30.804,
2011-10,29.904,
2012-01,30.022,
2012-04,31.058,
2012-07,30.939,
2012-10,30.570,
2013-01,26.451,
2013-04,25.524,
2013-07,24.657,
2013-10,24.784,
2014-01,24.360,
2014-04,24.745,
2014-07,24.526,
