"",BBFN1.M.DE.N.1.L.G9.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.G9.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Other European countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:28,
1995-01,5.532,
1995-02,5.544,
1995-03,5.543,
1995-04,5.207,
1995-05,5.291,
1995-06,5.383,
1995-07,5.280,
1995-08,5.341,
1995-09,5.429,
1995-10,5.359,
1995-11,5.568,
1995-12,5.459,
1996-01,5.276,
1996-02,5.245,
1996-03,5.197,
1996-04,5.172,
1996-05,5.210,
1996-06,5.504,
1996-07,5.482,
1996-08,5.314,
1996-09,5.586,
1996-10,5.556,
1996-11,5.883,
1996-12,5.814,
1997-01,5.523,
1997-02,5.515,
1997-03,5.775,
1997-04,5.760,
1997-05,5.874,
1997-06,5.930,
1997-07,5.928,
1997-08,5.630,
1997-09,6.055,
1997-10,6.367,
1997-11,6.596,
1997-12,6.543,
1998-01,6.358,
1998-02,6.466,
1998-03,6.730,
1998-04,6.467,
1998-05,6.540,
1998-06,6.720,
1998-07,6.637,
1998-08,6.482,
1998-09,6.842,
1998-10,7.060,
1998-11,6.980,
1998-12,6.969,
1999-01,6.749,
1999-02,6.689,
1999-03,6.941,
1999-04,6.997,
1999-05,6.984,
1999-06,7.142,
1999-07,7.230,
1999-08,7.045,
1999-09,7.280,
1999-10,7.553,
1999-11,7.531,
1999-12,7.965,
2000-01,7.873,
2000-02,8.063,
2000-03,8.441,
2000-04,8.144,
2000-05,7.739,
2000-06,8.115,
2000-07,8.035,
2000-08,8.030,
2000-09,8.755,
2000-10,8.872,
2000-11,9.215,
2000-12,9.552,
2001-01,9.439,
2001-02,9.166,
2001-03,9.542,
2001-04,9.051,
2001-05,8.969,
2001-06,9.235,
2001-07,9.304,
2001-08,9.025,
2001-09,9.240,
2001-10,9.305,
2001-11,9.660,
2001-12,9.832,
2002-01,8.846,
2002-02,9.008,
2002-03,8.682,
2002-04,8.985,
2002-05,8.647,
2002-06,8.893,
2002-07,8.758,
2002-08,8.663,
2002-09,9.380,
2002-10,9.413,
2002-11,10.064,
2002-12,9.388,
2003-01,9.182,
2003-02,9.441,
2003-03,9.559,
2003-04,9.378,
2003-05,9.490,
2003-06,10.163,
2003-07,9.869,
2003-08,9.960,
2003-09,10.480,
2003-10,10.858,
2003-11,10.415,
2003-12,10.284,
2004-01,10.096,
2004-02,10.150,
2004-03,10.903,
2004-04,10.236,
2004-05,7.007,
2004-06,7.017,
2004-07,6.647,
2004-08,6.614,
2004-09,7.370,
2004-10,7.526,
2004-11,7.050,
2004-12,7.229,
2005-01,7.212,
2005-02,6.857,
2005-03,7.312,
2005-04,7.593,
2005-05,6.938,
2005-06,7.883,
2005-07,8.277,
2005-08,7.904,
2005-09,8.166,
2005-10,8.253,
2005-11,8.251,
2005-12,9.442,
2006-01,9.044,
2006-02,9.093,
2006-03,9.408,
2006-04,9.578,
2006-05,8.985,
2006-06,9.147,
2006-07,8.856,
2006-08,8.211,
2006-09,9.253,
2006-10,8.839,
2006-11,9.214,
2006-12,10.397,
2007-01,9.488,
2007-02,8.870,
2007-03,9.105,
2007-04,8.836,
2007-05,8.900,
2007-06,9.660,
2007-07,9.265,
2007-08,8.966,
2007-09,9.980,
2007-10,9.339,
2007-11,9.235,
2007-12,10.442,
2008-01,10.175,
2008-02,10.313,
2008-03,10.473,
2008-04,10.471,
2008-05,10.050,
2008-06,9.597,
2008-07,9.773,
2008-08,9.733,
2008-09,8.984,
2008-10,9.236,
2008-11,9.641,
2008-12,8.194,
2009-01,8.478,
2009-02,8.138,
2009-03,7.964,
2009-04,7.454,
2009-05,7.795,
2009-06,8.447,
2009-07,8.600,
2009-08,8.169,
2009-09,8.827,
2009-10,9.301,
2009-11,9.506,
2009-12,9.424,
2010-01,8.586,
2010-02,9.442,
2010-03,9.796,
2010-04,9.430,
2010-05,9.565,
2010-06,9.887,
2010-07,10.434,
2010-08,9.656,
2010-09,10.526,
2010-10,10.665,
2010-11,10.170,
2010-12,10.487,
2011-01,11.227,
2011-02,9.898,
2011-03,10.730,
2011-04,11.321,
2011-05,11.767,
2011-06,11.109,
2011-07,12.566,
2011-08,11.097,
2011-09,11.715,
2011-10,11.970,
2011-11,11.953,
2011-12,12.812,
2012-01,11.861,
2012-02,12.262,
2012-03,13.295,
2012-04,12.079,
2012-05,11.950,
2012-06,12.524,
2012-07,12.036,
2012-08,11.174,
2012-09,12.253,
2012-10,13.329,
2012-11,12.132,
2012-12,2.131,
2013-01,2.289,
2013-02,2.630,
2013-03,2.586,
2013-04,1.695,
2013-05,1.544,
2013-06,2.281,
2013-07,1.507,
2013-08,1.698,
2013-09,1.809,
2013-10,1.802,
2013-11,2.196,
2013-12,1.907,
2014-01,1.828,
2014-02,2.088,
2014-03,2.482,
2014-04,1.972,
2014-05,1.674,
2014-06,1.888,
2014-07,1.752,
2014-08,2.127,
2014-09,1.882,
2014-10,1.866,
2014-11,2.202,
2014-12,1.990,
"","General: Up to April 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Bulgaria and Romania.",
