"",BBK01.QUA511,BBK01.QUA511_FLAGS
"",Foreign branches: Short-term liabilities to foreign banks / Slovakia / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:46:07,
2005-12,0.157,
2006-01,0.086,
2006-02,0.180,
2006-03,0.100,
2006-04,0.080,
2006-05,0.093,
2006-06,0.133,
2006-07,0.126,
2006-08,0.138,
2006-09,0.110,
2006-10,0.121,
2006-11,0.170,
2006-12,0.027,
2007-01,0.124,
2007-02,0.096,
2007-03,0.069,
2007-04,0.189,
2007-05,0.091,
2007-06,0.101,
2007-07,0.112,
2007-08,0.289,
2007-09,0.100,
2007-10,0.136,
2007-11,0.096,
2007-12,0.167,
2008-01,0.104,
2008-02,0.084,
2008-03,0.116,
2008-04,0.102,
2008-05,0.171,
2008-06,0.117,
2008-07,0.163,
2008-08,0.118,
2008-09,0.110,
2008-10,0.136,
2008-11,0.115,
2008-12,0.052,
2009-01,0.104,
2009-02,0.104,
2009-03,0.052,
2009-04,0.108,
2009-05,0.168,
2009-06,0.134,
2009-07,0.070,
2009-08,0.045,
2009-09,0.162,
2009-10,0.205,
2009-11,0.114,
2009-12,0.044,
2010-01,0.080,
2010-02,0.090,
2010-03,0.042,
2010-04,0.027,
2010-05,0.011,
2010-06,0.023,
2010-07,0.020,
2010-08,0.019,
2010-09,0.026,
2010-10,0.025,
2010-11,0.023,
2010-12,0.026,
2011-01,0.036,
2011-02,0.047,
2011-03,0.028,
2011-04,0.031,
2011-05,0.029,
2011-06,0.257,
2011-07,0.029,
2011-08,0.031,
2011-09,0.043,
2011-10,0.031,
2011-11,0.039,
2011-12,0.035,
2012-01,0.035,
2012-02,0.045,
2012-03,0.056,
2012-04,0.070,
2012-05,0.050,
2012-06,0.039,
2012-07,0.059,
2012-08,0.097,
2012-09,0.078,
2012-10,0.083,
2012-11,0.087,
2012-12,0.132,
2013-01,0.136,
2013-02,0.097,
2013-03,0.080,
2013-04,0.087,
2013-05,0.081,
2013-06,0.080,
2013-07,0.069,
2013-08,0.076,
2013-09,0.042,
2013-10,0.077,
2013-11,0.087,
2013-12,0.061,
2014-01,0.054,
2014-02,0.071,
2014-03,0.079,
2014-04,0.086,
2014-05,0.093,
2014-06,0.098,
2014-07,0.104,
2014-08,0.087,
2014-09,0.054,
2014-10,0.088,
2014-11,0.102,
