"",BBK01.OEYB03J,BBK01.OEYB03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:48,
2002-01,1.211,
2002-04,1.070,
2002-07,1.130,
2002-10,1.059,
2003-01,1.077,
2003-04,1.117,
2003-07,1.150,
2003-10,0.936,
2004-01,0.942,
2004-04,1.262,
2004-07,1.304,
2004-10,1.247,
2005-01,1.334,
2005-04,1.415,
2005-07,1.528,
2005-10,1.600,
2006-01,1.627,
2006-04,1.615,
2006-07,1.782,
2006-10,1.256,
2007-01,1.192,
2007-04,1.363,
2007-07,1.428,
2007-10,1.559,
2008-01,1.573,
2008-04,1.741,
2008-07,1.894,
2008-10,1.943,
2009-01,1.794,
2009-04,1.684,
2009-07,1.583,
2009-10,1.609,
2010-01,1.494,
2010-04,2.655,
2010-07,2.392,
2010-10,2.317,
2011-01,2.108,
2011-04,1.915,
2011-07,1.854,
2011-10,1.772,
2012-01,1.342,
2012-04,1.062,
2012-07,1.052,
2012-10,0.984,
2013-01,1.019,
2013-04,0.986,
2013-07,1.143,
2013-10,1.094,
2014-01,1.015,
2014-04,0.994,
2014-07,1.135,
