"",BBK01.OECM02R,BBK01.OECM02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:32,
2002-01,0.031,
2002-04,0.030,
2002-07,0.032,
2002-10,0.054,
2003-01,0.024,
2003-04,0.020,
2003-07,0.029,
2003-10,0.028,
2004-01,0.016,
2004-04,0.018,
2004-07,0.025,
2004-10,0.024,
2005-01,0.021,
2005-04,0.021,
2005-07,0.028,
2005-10,0.036,
2006-01,0.019,
2006-04,0.023,
2006-07,0.020,
2006-10,0.029,
2007-01,0.016,
2007-04,0.020,
2007-07,0.106,
2007-10,0.017,
2008-01,0.014,
2008-04,0.015,
2008-07,0.025,
2008-10,0.032,
2009-01,0.041,
2009-04,0.035,
2009-07,0.025,
2009-10,0.024,
2010-01,0.020,
2010-04,0.020,
2010-07,0.024,
2010-10,0.027,
2011-01,0.030,
2011-04,0.022,
2011-07,0.023,
2011-10,0.024,
2012-01,0.029,
2012-04,0.029,
2012-07,0.029,
2012-10,0.034,
2013-01,0.034,
2013-04,0.029,
2013-07,0.028,
2013-10,0.032,
2014-01,0.028,
2014-04,0.028,
2014-07,0.029,
