"",BBK01.OEAF06P,BBK01.OEAF06P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:10,
2002-01,1.761,
2002-04,1.742,
2002-07,1.748,
2002-10,1.742,
2003-01,1.760,
2003-04,1.747,
2003-07,1.352,
2003-10,1.321,
2004-01,1.235,
2004-04,1.195,
2004-07,1.193,
2004-10,1.200,
2005-01,1.213,
2005-04,1.220,
2005-07,1.215,
2005-10,1.207,
2006-01,1.207,
2006-04,1.216,
2006-07,1.231,
2006-10,1.230,
2007-01,1.227,
2007-04,1.238,
2007-07,1.262,
2007-10,1.259,
2008-01,1.320,
2008-04,1.339,
2008-07,1.334,
2008-10,1.320,
2009-01,1.337,
2009-04,1.360,
2009-07,1.374,
2009-10,1.368,
2010-01,1.369,
2010-04,1.832,
2010-07,2.054,
2010-10,2.014,
2011-01,2.001,
2011-04,1.810,
2011-07,1.794,
2011-10,1.778,
2012-01,1.780,
2012-04,1.784,
2012-07,1.769,
2012-10,1.687,
2013-01,1.686,
2013-04,1.693,
2013-07,1.708,
2013-10,1.697,
2014-01,1.708,
2014-04,1.713,
2014-07,1.710,
