"",BBK01.OECB02O,BBK01.OECB02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:58,
2002-01,1.684,
2002-04,1.691,
2002-07,1.556,
2002-10,1.564,
2003-01,1.417,
2003-04,1.302,
2003-07,1.149,
2003-10,1.251,
2004-01,1.231,
2004-04,1.144,
2004-07,1.153,
2004-10,1.363,
2005-01,1.279,
2005-04,1.184,
2005-07,1.129,
2005-10,1.197,
2006-01,1.067,
2006-04,1.210,
2006-07,1.316,
2006-10,1.297,
2007-01,1.359,
2007-04,1.364,
2007-07,1.148,
2007-10,1.175,
2008-01,1.344,
2008-04,1.314,
2008-07,1.397,
2008-10,1.417,
2009-01,1.437,
2009-04,1.238,
2009-07,1.167,
2009-10,0.919,
2010-01,1.077,
2010-04,1.095,
2010-07,1.128,
2010-10,0.921,
2011-01,1.078,
2011-04,1.450,
2011-07,1.171,
2011-10,1.112,
2012-01,1.143,
2012-04,0.952,
2012-07,1.000,
2012-10,0.839,
2013-01,1.053,
2013-04,1.008,
2013-07,1.050,
2013-10,0.913,
2014-01,1.020,
2014-04,1.150,
2014-07,1.014,
