"",BBK01.OEBJ02R,BBK01.OEBJ02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:13,
2002-01,0.444,
2002-04,0.471,
2002-07,0.486,
2002-10,0.562,
2003-01,0.467,
2003-04,0.510,
2003-07,0.516,
2003-10,0.612,
2004-01,0.525,
2004-04,0.597,
2004-07,0.653,
2004-10,0.726,
2005-01,0.643,
2005-04,0.651,
2005-07,0.723,
2005-10,0.834,
2006-01,0.704,
2006-04,0.747,
2006-07,0.796,
2006-10,0.904,
2007-01,0.800,
2007-04,0.833,
2007-07,0.819,
2007-10,0.731,
2008-01,0.717,
2008-04,0.653,
2008-07,0.675,
2008-10,0.892,
2009-01,1.229,
2009-04,1.237,
2009-07,1.377,
2009-10,1.805,
2010-01,1.683,
2010-04,1.730,
2010-07,1.806,
2010-10,1.858,
2011-01,1.713,
2011-04,1.696,
2011-07,1.731,
2011-10,1.301,
2012-01,1.260,
2012-04,1.255,
2012-07,1.487,
2012-10,1.490,
2013-01,1.529,
2013-04,1.494,
2013-07,1.642,
2013-10,1.615,
2014-01,1.585,
2014-04,1.584,
2014-07,1.695,
