"",BBK01.OECL02K,BBK01.OECL02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:26,
2002-01,1.042,
2002-04,1.271,
2002-07,1.184,
2002-10,1.214,
2003-01,1.216,
2003-04,1.272,
2003-07,1.285,
2003-10,1.228,
2004-01,1.207,
2004-04,1.238,
2004-07,1.163,
2004-10,1.745,
2005-01,2.296,
2005-04,2.241,
2005-07,2.205,
2005-10,2.239,
2006-01,2.212,
2006-04,2.345,
2006-07,2.179,
2006-10,2.159,
2007-01,2.200,
2007-04,2.393,
2007-07,2.380,
2007-10,2.368,
2008-01,2.342,
2008-04,2.321,
2008-07,2.313,
2008-10,2.840,
2009-01,3.377,
2009-04,3.448,
2009-07,3.473,
2009-10,3.520,
2010-01,3.660,
2010-04,3.809,
2010-07,3.723,
2010-10,3.813,
2011-01,3.728,
2011-04,3.694,
2011-07,3.901,
2011-10,3.858,
2012-01,3.735,
2012-04,3.873,
2012-07,3.925,
2012-10,4.253,
2013-01,4.151,
2013-04,4.192,
2013-07,4.174,
2013-10,4.530,
2014-01,4.556,
2014-04,4.701,
2014-07,4.863,
